Searched by ion,Searced by name,Product Mass,QualifierMass,Compound,Retention Time,report.results_GT_001_Lipid_1(raw),report.results_GT_001_Lipid_10(raw),report.results_GT_001_Lipid_11(raw),report.results_GT_001_Lipid_12(raw),report.results_GT_001_Lipid_13(raw),report.results_GT_001_Lipid_14(raw),report.results_GT_001_Lipid_15(raw),report.results_GT_001_Lipid_16(raw),report.results_GT_001_Lipid_17(raw),report.results_GT_001_Lipid_18(raw),report.results_GT_001_Lipid_19(raw),report.results_GT_001_Lipid_2(raw),report.results_GT_001_Lipid_20(raw),report.results_GT_001_Lipid_21(raw),report.results_GT_001_Lipid_22(raw),report.results_GT_001_Lipid_23(raw),report.results_GT_001_Lipid_24(raw),report.results_GT_001_Lipid_25(raw),report.results_GT_001_Lipid_26(raw),report.results_GT_001_Lipid_27(raw),report.results_GT_001_Lipid_28(raw),report.results_GT_001_Lipid_29(raw),report.results_GT_001_Lipid_3(raw),report.results_GT_001_Lipid_4(raw),report.results_GT_001_Lipid_5(raw),report.results_GT_001_Lipid_6(raw),report.results_GT_001_Lipid_7(raw),report.results_GT_001_Lipid_8(raw),report.results_GT_001_Lipid_9(raw),report.results_GT_001_Lipid_1: Log2(normalized),report.results_GT_001_Lipid_10: Log2(normalized),report.results_GT_001_Lipid_11: Log2(normalized),report.results_GT_001_Lipid_12: Log2(normalized),report.results_GT_001_Lipid_13: Log2(normalized),report.results_GT_001_Lipid_14: Log2(normalized),report.results_GT_001_Lipid_15: Log2(normalized),report.results_GT_001_Lipid_16: Log2(normalized),report.results_GT_001_Lipid_17: Log2(normalized),report.results_GT_001_Lipid_18: Log2(normalized),report.results_GT_001_Lipid_19: Log2(normalized),report.results_GT_001_Lipid_2: Log2(normalized),report.results_GT_001_Lipid_20: Log2(normalized),report.results_GT_001_Lipid_21: Log2(normalized),report.results_GT_001_Lipid_22: Log2(normalized),report.results_GT_001_Lipid_23: Log2(normalized),report.results_GT_001_Lipid_24: Log2(normalized),report.results_GT_001_Lipid_25: Log2(normalized),report.results_GT_001_Lipid_26: Log2(normalized),report.results_GT_001_Lipid_27: Log2(normalized),report.results_GT_001_Lipid_28: Log2(normalized),report.results_GT_001_Lipid_29: Log2(normalized),report.results_GT_001_Lipid_3: Log2(normalized),report.results_GT_001_Lipid_4: Log2(normalized),report.results_GT_001_Lipid_5: Log2(normalized),report.results_GT_001_Lipid_6: Log2(normalized),report.results_GT_001_Lipid_7: Log2(normalized),report.results_GT_001_Lipid_8: Log2(normalized),report.results_GT_001_Lipid_9: Log2(normalized),Compound Name,Measured Retention Time,Product Mass,QualifierMass,CASNumber,CompoundType,ISTDCompoundName,Mass Column
inconclusive,,353.2304,354.2335,"3beta,15xi,16-Trihydroxy isopimaric acid_1.532",1.532,55446.156,64868.58,43944.613,36516.69,56039.895,87967.516,29456.85,19094.738,140080.7,19524.854,273286.38,47462.49,33977.375,13732.3125,34207.867,12105.038,3906.769,14522.053,37116.26,22471.232,315939.5,272846.94,42853.574,78444.164,72424.13,92313.38,76108.016,49363.4,40781.555,15.7588,15.985231,15.423399,15.156268,15.774166,16.424683,14.846315,14.220887,17.095898,14.253024,18.060053,15.534501,15.052286,13.745287,15.062041,13.563319,11.93176,13.825957,15.179764,14.455791,18.269289,18.057732,15.387128,16.259378,16.144184,16.494251,16.215761,15.591155,15.315629,"3beta,15xi,16-Trihydroxy isopimaric acid_1.532",1.8178834,353.2304,354.2335,,Target,,0
not found ,,927.5287,929.533,"3beta,16alpha,28-Trihydroxyolean-11,13(18)-dien-3beta-yl-beta-D-glucopyranosyl-(1--6)-beta-D-[alpha_5.381",5.381,33275.438,45062.16,46176.418,60092.71,225879.1,37981.707,44539.8,33141.66,30401.262,58157.617,20104.227,54979.76,78207.32,96227.16,42397.45,65480.97,41782.14,80476.266,101058.82,54904.816,32254.64,67945.23,25084.824,18951.156,52426.258,44800.316,14910.921,22476.266,21673.441,15.02217,15.459629,15.494869,15.874903,17.78519,15.213017,15.442808,15.016358,14.891843,15.827681,14.295212,15.7466135,16.255016,16.554157,15.37169,15.998788,15.350599,16.296276,16.624836,15.744646,14.97722,16.052084,14.614527,14.209998,15.678001,15.451221,13.864081,14.456115,14.403641,"3beta,16alpha,28-Trihydroxyolean-11,13(18)-dien-3beta-yl-beta-D-glucopyranosyl-(1--6)-beta-D-[alpha_5.381",5.4870334,927.5287,929.533,,Target,,0
not found ,,483.3835,484.387,3beta-Acetyl ursa-14-en-16-one_3.538,3.538,291444.1,389192.25,463414.97,628400.44,455431.34,373329.9,454569.56,494525.53,421889.44,605086.94,405163.9,504814.47,355375.44,499504.22,365942.84,610088.6,414419.88,470828.34,426484.25,522804.06,289784.66,361090.78,301772.2,326597.28,402659.88,414013.34,347402.66,309704.56,315543.7,18.152859,18.570124,18.821945,19.261326,18.796873,18.510092,18.794142,18.915686,18.686504,19.206783,18.628147,18.945395,18.438986,18.930138,18.481258,19.21866,18.660734,18.844843,18.702133,18.99591,18.144623,18.462002,18.2031,18.317152,18.619202,18.659319,18.40625,18.240534,18.267479,3beta-Acetyl ursa-14-en-16-one_3.538,3.5240834,483.3835,484.387,,Target,,0
not found ,,483.3836,484.3874,3beta-Acetyl ursa-14-en-16-one_3.887,3.887,251470.45,463941.2,344120.8,232173.48,287750.16,143630.48,74117.45,532188.7,78798.125,194242.06,124622.67,157472.34,122078.664,113605.49,181151.53,451461.34,135648.56,142741.27,469775.53,101536.44,160608.98,160001.77,214976.61,208231.39,826770.44,340992.78,193234.6,218991.39,218595.31,17.94003,18.823582,18.392555,17.824842,18.134457,17.132002,16.177526,19.021578,16.265875,17.567497,16.927206,17.264738,16.897451,16.793673,17.466837,18.784243,17.049513,17.123043,18.841612,16.63164,17.293192,17.287727,17.71382,17.66783,19.657127,18.379381,17.559994,17.740515,17.737902,3beta-Acetyl ursa-14-en-16-one_3.887,3.8636668,483.3836,484.3874,,Target,,0
not found ,,665.4027,666.4064,3-O-trans-Feruloyleuscaphic acid_3.501,3.501,68471.06,27879.873,50182.55,73586.414,65309.23,88469.89,113275.7,83192.31,76192.77,63067.62,121924.04,80561.03,116890.97,108404.945,119896.99,55131.383,93374.41,79169.83,89375.63,94145.49,70836.62,131631.58,43109.633,185058.06,163621.62,55016.434,45942.777,57172.05,48443.965,16.063208,14.766936,15.614898,16.167152,15.994999,16.432898,16.789478,16.344162,16.217367,15.944612,16.895622,16.297794,16.834805,16.72607,16.871435,15.7505865,16.510738,16.272663,16.447594,16.522604,16.112207,17.006147,15.395723,17.497618,17.320004,15.747575,15.487551,15.803022,15.56403,3-O-trans-Feruloyleuscaphic acid_3.501,3.5654833,665.4027,666.4064,,Target,,0
not found ,,323.1829,324.1857,3-Teracrylmelazolide A_1.042,1.042,442143.3,221480.6,49364.18,395717.78,10006.398,191556.5,319794.66,20208.498,29348.89,20654.201,90755.13,192439.19,70448.17,81236.266,90218.13,58551.582,86303.375,16544.184,71495.84,103219.87,39337.516,158298.5,156344.4,47406.258,162868.44,99286.64,75473.88,193571.34,60647.34,18.754154,17.75682,15.591177,18.594112,13.288635,17.547411,18.286785,14.302674,14.841019,14.334147,16.469692,17.554043,16.104275,16.309835,16.46113,15.8374195,16.39713,14.014036,16.125572,16.655361,15.263618,17.272287,17.254368,15.532789,17.313347,16.599312,16.20369,17.562506,15.888156,3-Teracrylmelazolide A_1.042,1.2464,323.1829,324.1857,,Target,,0
not found ,,163.1118,164.1145,4-Isopropylphenylacetaldehyde_0.927,0.927,35352.83,24770.3,33824.21,26872.006,30678.762,45867.156,51768.387,31899.564,46003.965,46963.234,50925.367,37881.43,62029.895,47934.53,34805.75,44016.54,60442.645,48881.504,57239.254,77454.38,63221.47,44196.254,33027.375,36111.42,44858.906,36694.758,29540.97,43381.773,59860.05,15.109538,14.596324,15.045769,14.713816,14.904952,15.485173,15.659784,14.961249,15.4894705,15.519244,15.636097,15.209203,15.920676,15.548779,15.087038,15.425758,15.883279,15.577002,15.804717,16.241058,15.948128,15.431636,15.011374,15.140168,15.453106,15.163286,14.85043,15.404801,15.869306,4-Isopropylphenylacetaldehyde_0.927,0.93993336,163.1118,164.1145,4395-92-0,Target,,0
not found ,,567.4195,568.4231,4-Keto-4'-hydroxy-beta-carotene_2.882,2.882,87900.72,71127.91,94576.09,92695.94,152464.94,70210.23,182756.1,106563.88,189925.12,275858.66,164860.11,180374.33,141260.47,170421.95,74605.96,202750,155184.62,249846.69,123537.24,133041.52,92165.19,85459.18,105247.586,77806.75,211228.28,116507.35,96020.3,117204.58,137908.52,16.423588,16.118128,16.529188,16.50022,17.218117,16.099394,17.479559,16.701359,17.535072,18.07357,17.330883,17.460634,17.107998,17.378752,16.187002,17.629343,17.243626,17.930685,16.914585,17.021517,16.491934,16.382948,16.683428,16.247608,17.688442,16.830061,16.551052,16.83867,17.073353,4-Keto-4'-hydroxy-beta-carotene_2.882,2.9028833,567.4195,568.4231,,Target,,0
not found ,,567.4192,568.423,4-Keto-4'-hydroxy-beta-carotene_2.951,2.951,87147.42,71127.91,94329.336,93408.29,152614.45,57435.785,182756.1,107235.22,184450.67,269218,165732.27,177339.62,140914.36,170344.31,74408.77,187247.83,153362.1,249846.19,123312.734,134268.72,92013.63,86583.11,105569.125,78406.55,210738.06,106482.32,97317.66,120083.69,139654.95,16.411171,16.118128,16.52542,16.511263,17.219532,15.809662,17.479559,16.710419,17.492876,18.038416,17.338495,17.436155,17.10446,17.378094,16.183186,17.51459,17.226583,17.93068,16.911963,17.034763,16.489561,16.401798,16.687828,16.258686,17.685091,16.700254,16.570414,16.87368,17.091507,4-Keto-4'-hydroxy-beta-carotene_2.951,2.9028833,567.4192,568.423,,Target,,0
found  ,,355.2094,356.2122,"5-hydroperoxy-7-[3,5-epidioxy-2-(2-octenyl)-cyclopentyl]-6-heptenoic acid_1.154",1.154,255033.64,31490.871,34428.77,275021.3,12700.136,105826.01,109701.875,174120.45,78446.26,81794.266,25070.627,55608.047,129029.39,102398.98,103224.914,162610.6,246854.19,67827.34,199499.05,159680.05,113284.66,83918.84,115462.35,69408.76,519806.94,85832.03,248723.72,96202.625,81343.586,17.96033,14.942647,15.071326,18.069183,13.632556,16.691334,16.743229,17.409727,16.259417,16.319712,14.613709,15.763006,16.97734,16.64384,16.655432,17.311062,17.9133,16.04958,17.606022,17.284824,16.789593,16.356707,16.817064,16.08283,18.987617,16.389229,17.924185,16.55379,16.31174,"5-hydroperoxy-7-[3,5-epidioxy-2-(2-octenyl)-cyclopentyl]-6-heptenoic acid_1.154",1.08075,355.2094,356.2122,,Target,,0
