Searched by ion,Searced by name,Product Mass,QualifierMass,Compound,Retention Time,report.results_GT_001_Lipid_1(raw),report.results_GT_001_Lipid_10(raw),report.results_GT_001_Lipid_11(raw),report.results_GT_001_Lipid_12(raw),report.results_GT_001_Lipid_13(raw),report.results_GT_001_Lipid_14(raw),report.results_GT_001_Lipid_15(raw),report.results_GT_001_Lipid_16(raw),report.results_GT_001_Lipid_17(raw),report.results_GT_001_Lipid_18(raw),report.results_GT_001_Lipid_19(raw),report.results_GT_001_Lipid_2(raw),report.results_GT_001_Lipid_20(raw),report.results_GT_001_Lipid_21(raw),report.results_GT_001_Lipid_22(raw),report.results_GT_001_Lipid_23(raw),report.results_GT_001_Lipid_24(raw),report.results_GT_001_Lipid_25(raw),report.results_GT_001_Lipid_26(raw),report.results_GT_001_Lipid_27(raw),report.results_GT_001_Lipid_28(raw),report.results_GT_001_Lipid_29(raw),report.results_GT_001_Lipid_3(raw),report.results_GT_001_Lipid_4(raw),report.results_GT_001_Lipid_5(raw),report.results_GT_001_Lipid_6(raw),report.results_GT_001_Lipid_7(raw),report.results_GT_001_Lipid_8(raw),report.results_GT_001_Lipid_9(raw),report.results_GT_001_Lipid_1: Log2(normalized),report.results_GT_001_Lipid_10: Log2(normalized),report.results_GT_001_Lipid_11: Log2(normalized),report.results_GT_001_Lipid_12: Log2(normalized),report.results_GT_001_Lipid_13: Log2(normalized),report.results_GT_001_Lipid_14: Log2(normalized),report.results_GT_001_Lipid_15: Log2(normalized),report.results_GT_001_Lipid_16: Log2(normalized),report.results_GT_001_Lipid_17: Log2(normalized),report.results_GT_001_Lipid_18: Log2(normalized),report.results_GT_001_Lipid_19: Log2(normalized),report.results_GT_001_Lipid_2: Log2(normalized),report.results_GT_001_Lipid_20: Log2(normalized),report.results_GT_001_Lipid_21: Log2(normalized),report.results_GT_001_Lipid_22: Log2(normalized),report.results_GT_001_Lipid_23: Log2(normalized),report.results_GT_001_Lipid_24: Log2(normalized),report.results_GT_001_Lipid_25: Log2(normalized),report.results_GT_001_Lipid_26: Log2(normalized),report.results_GT_001_Lipid_27: Log2(normalized),report.results_GT_001_Lipid_28: Log2(normalized),report.results_GT_001_Lipid_29: Log2(normalized),report.results_GT_001_Lipid_3: Log2(normalized),report.results_GT_001_Lipid_4: Log2(normalized),report.results_GT_001_Lipid_5: Log2(normalized),report.results_GT_001_Lipid_6: Log2(normalized),report.results_GT_001_Lipid_7: Log2(normalized),report.results_GT_001_Lipid_8: Log2(normalized),report.results_GT_001_Lipid_9: Log2(normalized),Compound Name,Measured Retention Time,Product Mass,QualifierMass,CASNumber,CompoundType,ISTDCompoundName,Mass Column
not found ,,993.6495,994.6521,C1550 - 5.76,5.76,223520.1,219710.03,219657.56,197565.66,14885.548,11074.016,216305.3,221769.11,294578.8,254557.03,11827.81,13870.434,288332.4,278945.62,310542.78,8659.259,14113.625,202795.33,239803.3,254268.6,299686.5,12045.721,243886.55,15815.78,185590.53,211049.8,13978.829,245353.52,185207.34,17.770046,17.745241,17.744896,17.591972,13.861624,13.434891,17.72271,17.7587,18.168295,17.957628,13.529896,13.759726,18.137373,18.089624,18.244432,13.080028,13.7848015,17.629665,17.871492,17.955994,18.193094,13.556232,17.89585,13.949077,17.501764,17.687223,13.770956,17.904503,17.498781,C1550 - 5.76,5.4870334,993.6495,994.6521,,Target,,0
found  ,,652.6694,653.6729,C1560 - 7.048,7.048,184788.23,135616.56,70445.35,98320.34,164546.98,120084.13,287082.5,50441.953,143185.62,141600.92,148910.83,225146.69,86948.05,160472.11,158067.2,138128.88,130943.47,137227.39,129512.89,301620.72,94157.04,264994.94,225095.81,142552.48,87601.97,157327.44,190580.28,195732.53,197219.16,17.495514,17.049173,16.104218,16.585201,17.32814,16.873686,18.131105,15.622337,17.127527,17.111471,17.18409,17.780506,16.407866,17.291962,17.270178,17.075655,16.998585,17.066208,16.982737,18.202375,16.522781,18.015606,17.78018,17.121134,16.418676,17.26341,17.54004,17.578524,17.58944,C1560 - 7.048,7.044133,652.6694,653.6729,,Target,,0
not found ,,877.5487,878.5512,C1563 - 5.175,5.175,75012.836,73719.55,567669.56,84791.38,916648.75,112825.37,531119.3,807345.3,105763.305,84575.76,964227.3,74430.766,479801.34,102992.195,1210720.1,374754.62,104414.18,85191.12,114346.195,67865.08,1099013.6,638499.1,855729.9,851497.3,592472.06,74992.53,973222.3,585756.3,522360.38,16.194849,16.16976,19.114693,16.37163,19.80601,16.783731,19.018677,19.622828,16.69048,16.367956,19.879013,16.18361,18.872078,16.652176,20.207434,18.515587,16.671959,16.378416,16.80305,16.05038,20.067778,19.284325,19.706797,19.699642,19.176388,16.194458,19.89241,19.15994,18.994686,C1563 - 5.175,5.9177165,877.5487,878.5512,,Target,,0
not found ,,807.5971,808.5959,C1569 - 6.446,6.446,1023509,2939874.5,237833.33,4753032,201975.05,145495.84,248930.97,2804204,1983717.4,2900129,3333309.8,200498.69,3604412.2,3159544,3606794,3006157,3604443.5,214866.02,3648839.8,190150.22,3753861.2,4734601,1505732.1,194522.12,222801.9,181811.95,2745266.5,3997973.2,252844.55,19.965092,21.487322,17.859592,22.180416,17.623817,17.15062,17.925386,21.419159,20.919775,21.467686,21.668524,17.613234,21.781334,21.591286,21.782286,21.51949,21.781345,17.713078,21.799006,17.536781,21.839943,22.174812,20.522034,17.569574,17.765402,17.472088,21.388515,21.930838,17.947891,C1569 - 6.446,6.6714168,807.5971,808.5959,,Target,,0
not found ,,787.6029,788.6076,C1570 - 6.686,6.686,4369635,5445313,9104102,6212187.5,7495255,3836704,6747642.5,6888094.5,4884135,6513894.5,5745607.5,7247871.5,5315609.5,3346496,4453242,1.05E+07,5616726.5,7343469,3699631.2,5269655.5,5688916.5,6552162,6055866,7644699.5,9721835,5681830.5,6285403.5,6585511,1.08E+07,22.05908,22.376583,23.118084,22.566671,22.837545,21.871435,22.685951,22.715673,22.219671,22.63509,22.454027,22.789127,22.341805,21.67422,22.086424,23.327099,22.421299,22.808031,21.81895,22.329277,22.439722,22.64354,22.529902,22.86603,23.2128,22.437923,22.583574,22.650864,23.362429,C1570 - 6.686,6.5720334,787.6029,788.6076,,Target,,0
not found ,,920.6421,921.6565,C1577 - 6.33,6.33,45556.234,50904.56,34936.855,53603.26,59058.652,48827.85,86341.336,60189.63,38998.773,55346.09,51562.645,41291.477,49297.598,65650.28,48477.03,37146.492,54753.965,44527.96,53655.875,52102.98,65355.617,47347.86,25869.23,62387.26,33180.418,93722.1,43103.438,44020.008,33710.652,15.475361,15.635507,15.092463,15.710033,15.84986,15.575417,16.397764,15.877228,15.251141,15.756193,15.654038,15.333556,15.58923,16.002514,15.565013,15.180939,15.740676,15.442424,15.711449,15.669078,15.996024,15.531012,14.65895,15.928965,15.0180435,16.516102,15.395515,15.425873,15.040917,C1577 - 6.33,6.2158833,920.6421,921.6565,,Target,,0
not found ,,747.6062,748.6099,C1578 - 5.09,5.09,180809.4,18186.662,310831.47,162013.75,308484.5,143960.33,22116.584,288817.3,28078.371,18049.465,270318.75,313216.06,289221.3,136998.8,252684.17,367223.5,23632.049,21820.836,123142.03,12192.311,261024.45,321160.53,16718.418,215316.58,23496.8,227321.53,300249.03,305949.84,333910.84,17.46411,14.150594,18.245773,17.305758,18.234838,17.135311,14.43284,18.139797,14.777172,14.1396675,18.044302,18.2568,18.141813,17.063803,17.946976,18.486298,14.528458,14.413419,16.909964,13.573684,17.993826,18.292934,14.02915,17.716099,14.520177,17.794374,18.1958,18.222935,18.349102,C1578 - 5.09,5.3048167,747.6062,748.6099,,Target,,0
not found ,,793.5725,794.576,C1583 - 7.593,7.593,23546.465,15895.87,6327.5674,14991.525,5141.5547,11317.252,174896.81,56288.76,12720.101,4802.491,65558.52,13860.172,3629.231,5236.252,4157.757,73067.28,11001.854,8029.4653,79253.47,7063.9404,4583.576,5219.5015,6325.9614,4505.7866,10837.654,23289.793,3098.0662,2739.6582,9287.931,14.523222,13.956365,12.627436,13.87186,12.327989,13.466236,17.416145,15.78056,13.634823,12.229567,16.000496,13.758657,11.825449,12.354319,12.02159,16.156939,13.42546,12.971088,16.274185,12.786258,12.162258,12.349696,12.627069,12.137563,13.403765,14.507411,11.597152,11.41978,13.181141,C1583 - 7.593,7.7812834,793.5725,794.576,,Target,,0
not found ,,553.3512,554.355,C159 - 2.574,2.574,227572.27,604849.9,1015559.06,68827.81,101914.06,192104.53,407293.47,418579.97,398391.7,313354.22,2786354,312718.62,2843239.8,156369.44,2445799,682034.2,3995494.8,249313.03,2484928.5,334723.6,266261.5,483386.2,398336.4,231704.75,106086.92,60639.36,408683.56,384519,78075.03,17.795965,19.206217,19.953842,16.070704,16.636993,17.551533,18.63571,18.675144,18.603828,18.257435,21.409946,18.254505,21.439104,17.2546,21.221874,19.379484,21.929943,17.927599,21.244774,18.352612,18.022484,18.882816,18.603628,17.821928,16.694887,15.887966,18.640625,18.552696,16.252573,C159 - 2.574,2.54675,553.3512,554.355,,Target,,0
not found ,,641.4383,642.4414,C1591 - 3.206,3.206,53136.45,53224.625,29249.926,7080.0815,12036.678,260480.84,287587.1,25866.129,291936.34,207439.25,420167.7,8513.242,413839.1,385715.7,358264.97,344412.3,659795.9,165788.2,417447.28,341282.12,49061.676,356346.6,9793.064,125499.69,154485.23,22331.035,203080.38,4643.6675,21942.305,15.697413,15.699806,14.836145,12.789551,13.55515,17.990818,18.133638,14.658776,18.155294,17.662329,18.680605,13.055493,18.65871,18.557178,18.450668,18.393778,19.331661,17.338982,18.671234,18.380606,15.582309,18.44292,13.257544,16.937325,17.23711,14.446763,17.631691,12.181049,14.421428,C1591 - 3.206,2.8697667,641.4383,642.4414,,Target,,0
not found ,,521.326,522.3297,C1594 - 2.47,2.47,43032.227,39071.598,56887.938,27691.484,36400.086,47395.562,82431.19,59062.426,71730.305,64784.18,113234.21,39185.883,98804.92,76229.914,78181.47,70089.33,166078.73,50183.13,84286.77,73886.914,55800.105,89027.875,30009.547,36590.742,49164.48,13505.904,85849.47,64341.633,36988.82,15.393129,15.253832,15.795835,14.757154,15.151653,15.532464,16.330902,15.849953,16.130295,15.983354,16.78895,15.258046,16.592297,16.21807,16.254538,16.096907,17.341507,15.614914,16.363018,16.17303,15.767981,16.441969,14.873134,15.15919,15.585329,13.721303,16.38952,15.973465,15.174801,C1594 - 2.47,2.3231168,521.326,522.3297,,Target,,0
not found ,,798.6101,799.6102,C1604 - 5.605,5.605,119581.586,452758.9,470949.22,397739.47,543611.7,265139.22,149190.77,98283.055,496791.94,382141.94,550174.4,549708.44,407330.1,320224.75,451595.34,506533.66,502542.22,417109.1,376633.34,472991.06,430606.5,393985.06,375097.25,507988.06,490813.5,336373.9,36636.438,502546.34,57085.63,16.867636,18.788383,18.845213,18.601465,19.052217,18.01639,17.186798,16.584656,18.922283,18.543749,19.06953,19.068306,18.63584,18.288725,18.784672,18.950298,18.938885,18.670065,18.5228,18.851454,18.716011,18.587782,18.516905,18.954435,18.904816,18.359707,15.160992,18.938898,15.80084,C1604 - 5.605,5.561567,798.6101,799.6102,,Target,,0
not found ,,680.7033,681.7063,C1611 - 6.818,6.818,90038.7,79038.44,43301.62,55089.586,95312.55,72507.266,150993.34,30156.16,76107.02,92320.26,81381.75,126339.5,48366.676,95531.86,86849.19,81263.08,70274.59,75039.414,70898.81,291611.12,47674.547,161124.3,118135.92,80811.375,42919.066,75866.125,103014.35,106085.52,107423.03,16.458258,16.270267,15.402133,15.749492,16.540379,16.145838,17.204124,14.880164,16.215742,16.49436,16.312418,16.946945,15.561727,16.543695,16.406225,16.310312,16.100716,16.195362,16.113474,18.153687,15.540932,17.297813,16.850088,16.30227,15.389331,16.211168,16.652485,16.694868,16.712944,C1611 - 6.818,6.8122334,680.7033,681.7063,,Target,,0
not found ,,633.4667,634.4697,C1622 - 1.965,1.965,59596.684,53300.457,56011.836,54058.156,57577.38,54214.566,57561.86,51667.35,57145.863,57705.055,76910.74,61813.54,51665.688,62669.387,55736.758,53977.246,58020.684,54164.508,72976.66,55271.184,54259.945,59671.656,51362.445,53333.61,57251.242,63666.438,52618.42,59938.625,53645.37,15.862945,15.70186,15.773444,15.722224,15.813214,15.726394,15.812825,15.656965,15.8023615,15.816411,16.230898,15.915635,15.6569195,15.935473,15.766341,15.720063,15.824279,15.72506,16.155148,15.754239,15.7276,15.8647585,15.648426,15.702758,15.805019,15.958245,15.683281,15.871199,15.711165,C1622 - 1.965,1.9421166,633.4667,634.4697,,Target,,0
not found ,,624.641,625.6439,C1624 - 6.817,6.817,153216.16,124301.42,61786.688,98360.15,158573.33,125184.875,288907.6,56785.887,144880.22,174685.83,141876.9,206257.22,86046.086,174563.64,160192.7,141000.12,133054.66,146678.38,122364.62,538345.1,89894.9,261483.94,231865.6,133511.28,81869.32,147882.2,196771.38,177285.88,172873.4,17.225208,16.923483,15.915009,16.585787,17.27479,16.9337,18.14025,15.793245,17.1445,17.414404,17.114279,17.654085,16.392822,17.413393,17.28945,17.105337,17.02166,17.162298,16.900827,19.038172,16.455952,17.996363,17.82293,17.026602,16.321035,17.174088,17.58616,17.435719,17.399357,C1624 - 6.817,6.8122334,624.641,625.6439,,Target,,0
not found ,,860.6212,861.6247,C1641 - 5.28,5.28,64441.41,294539.56,47761.016,276293.7,296486.25,90739.77,298436.3,370255.6,278567.88,44350.344,43653.715,293851.03,57233.234,76964.234,63138.38,51619.043,389260.38,272612.94,196118.42,289667.22,314000.62,182958.61,54681.004,233303.25,310572.22,82800.625,301764.7,377793.97,54021.414,15.975701,18.168102,15.543546,18.075844,18.177607,16.469448,18.187063,18.498161,18.08767,15.436658,15.413817,18.164724,15.804565,16.2319,15.94623,15.655615,18.570375,18.056494,17.581366,18.144037,18.260408,17.481157,15.738751,17.831846,18.24457,16.337355,18.203064,18.527239,15.721244,C1641 - 5.28,5.4042,860.6212,861.6247,,Target,,0
not found ,,515.3204,516.3238,C1642 - 1.802,1.802,202294.6,238291.19,195973.98,2621341.5,2590544.2,2657940.5,2682014.8,244285.8,156046.12,2649906,215274.38,2670428.8,140592.14,189554.19,2782176.2,170364.95,2650616.5,2732658.8,2601783,2654510.2,2662743.8,2688516,2772337.8,270108.47,2620317.5,368753.03,2728375,220150.89,2648395.8,17.626099,17.862366,17.580303,21.321875,21.304825,21.341877,21.354887,17.89821,17.251614,21.33751,17.715816,21.34864,17.101156,17.532251,21.407784,17.37827,21.337896,21.381874,21.31107,21.340015,21.344482,21.358377,21.402672,18.043179,21.32131,18.492296,21.37961,17.748133,21.336687,C1642 - 1.802,1.8675833,515.3204,516.3238,,Target,,0
not found ,,629.404,630.4076,C1649 - 2.818,2.818,163586.62,107148.64,165494.34,103244.63,75796.89,223137.73,329754.56,237267.8,252845.06,238650.44,436908.06,160502.81,412721.47,359160.94,325072.8,304252.62,606224.6,183871.11,375693.38,339491.1,252528.02,399042.03,89571.15,126936.79,157791.45,89692.016,216579.72,108904.06,97259.46,17.319696,16.709253,17.336422,16.655706,16.20985,17.767574,18.331034,17.856157,17.947893,17.86454,18.73697,17.292238,18.65481,18.454271,18.310404,18.214909,19.209494,17.488335,18.519196,18.373014,17.946085,18.60618,16.450747,16.95375,17.26766,16.452692,17.724539,16.732698,16.569551,C1649 - 2.818,2.8946166,629.404,630.4076,,Target,,0
not found ,,599.5033,600.5071,C1657 - 4.663,4.663,363176.62,24357.24,8559.511,39104.832,188300.84,7169.388,13570.725,6866.246,33242.3,6073.191,8267.744,7622.148,33510.867,23296.268,7230.8306,15224.658,15343.564,18022.494,32442.193,13799.903,5410.735,11489.334,10311.162,98260.76,12798.526,66740.32,16240.585,89774.836,56542.336,18.470312,14.5720625,13.063313,15.255059,17.52268,12.807634,13.7282095,12.745305,15.020732,12.568239,13.013278,12.895982,15.032342,14.507812,12.819946,13.894122,13.905346,14.13751,14.985583,13.752371,12.401608,13.488008,13.331919,16.584328,13.64369,16.02627,13.987316,16.454023,15.787045,C1657 - 4.663,4.7250333,599.5033,600.5071,,Target,,0
not found ,,784.5499,785.5387,C1666 - 4.592,4.592,2295417.5,2106789.5,2568668.8,1572372.9,2490607,1962425.6,2732843.8,2834003,2141502.2,1767266.4,2162744.5,3611646,2417039.2,1178236.2,1910806.1,3292252.2,2003269.9,2360165.2,1275058.8,2103220,1749687.2,2495245.8,2547640,2970015.5,3089545.2,3150226.8,2695043.8,2258711.5,2915966.2,21.130325,21.006615,21.29259,20.58451,21.248066,20.904207,21.381971,21.43441,21.030191,20.753088,21.044432,21.784225,21.20481,20.168198,20.86575,21.650644,20.933926,21.170456,20.282133,21.004168,20.738665,21.25075,21.28073,21.502039,21.558964,21.587025,21.361877,21.107069,21.475542,C1666 - 4.592,4.749883,784.5499,785.5387,,Target,,0
not found ,,931.5753,932.5788,C1667 - 3.841,3.841,1564458.8,1511092.1,1116462,1446151.6,1174177.1,1381694.8,1450841.8,1619091.2,1501582.6,1647649.4,1510931,1482172,1546339,1468142.9,1508122.1,1514459.9,1510133,1480080.4,1504971.4,1524926.8,1624507.9,1498378.2,1136015.6,1057091,1677382.2,1519645,1482685.2,1171398.2,1230399.1,20.577232,20.52716,20.090504,20.463787,20.163218,20.398008,20.468458,20.626753,20.518053,20.651978,20.527006,20.49928,20.560425,20.485561,20.52432,20.530373,20.526243,20.497244,20.521305,20.540308,20.63157,20.514969,20.115551,20.01167,20.67778,20.535303,20.49978,20.159801,20.230696,C1667 - 3.841,3.7477,931.5753,932.5788,,Target,,0
not found ,,875.6407,876.6433,C1675 - 6.076,6.076,294792.94,406837.38,250253.98,394190.56,312360.28,341079.1,300002.56,343705.6,401540.56,443395.78,309618.62,293836.53,290258.7,369716.3,448299.78,345619.97,354183.16,425706.12,395566.38,335943.2,333545.9,253067.1,301441.72,299045.78,280343.66,367798.47,303033.78,296894.28,247591.05,18.169342,18.634092,17.933035,18.588533,18.252851,18.379747,18.194616,18.390814,18.615187,18.758236,18.240133,18.164656,18.146978,18.49606,18.774103,18.398827,18.434137,18.6995,18.593561,18.357857,18.347527,17.94916,18.201519,18.190006,18.096838,18.488556,18.209118,18.17959,17.917599,C1675 - 6.076,6.099933,875.6407,876.6433,,Target,,0
not found ,,805.4791,806.4831,C1684 - 5.022,5.022,4470999,9643433,7825557,5482898.5,8862846,1.14E+07,9115945,3774097,4865243,4513412,8747603,9014436,4266257.5,1.29E+07,9238381,7269235,9374788,9607530,6754189.5,1.17E+07,1.06E+07,7565052.5,3149822,4424693,6391555,4545777,3823997.8,3196663,2762002.8,22.092167,23.201115,22.899763,22.386507,23.079338,23.447369,23.11996,21.8477,22.21408,22.105787,23.060455,23.103806,22.02454,23.620304,23.13921,22.793373,23.160357,23.195734,22.687351,23.47506,23.342838,22.85092,21.586838,22.077147,22.607737,22.116095,21.86665,21.608135,21.397284,C1684 - 5.022,4.998367,805.4791,806.4831,,Target,,0
not found ,,798.6091,799.611,C1685 - 5.128,5.128,67617.43,121099.67,212246.28,24104.748,165962.94,97942.51,100175.195,25663.275,127441.04,173741.52,186296.16,130336.49,203608.03,61416.16,123128.06,137016.89,126763.59,155964.75,94701.82,219541.33,93160.484,123913.305,140830.5,185112.16,183810.3,86177.766,136186.66,37818.9,161326.28,16.045107,16.885836,17.69538,14.55703,17.340502,16.579647,16.612165,14.647417,16.95947,17.406582,17.507238,16.991882,17.635435,15.90633,16.909801,17.063995,16.95178,17.25086,16.531105,17.744133,16.50743,16.918972,17.1036,17.498041,17.487858,16.395027,17.055227,15.2068205,17.299622,C1685 - 5.128,5.3876333,798.6091,799.611,,Target,,0
not found ,,929.5467,930.5506,C1688 - 3.737,3.737,34151.855,56831.863,107342.23,80821.56,62679.594,101537.58,89942.7,85037.89,86016.18,76135.45,76538.31,99225.97,73766.5,76809.99,92143.016,83468.07,75597.62,92875.66,85319.805,63056.668,58690.02,101671.1,90697.516,56954.746,109761.484,93013.82,62711.27,67965.39,89506.625,15.059676,15.794412,16.711859,16.302452,15.935709,16.631653,16.456718,16.375818,16.39232,16.216282,16.223894,16.598429,16.17068,16.229006,16.491587,16.348936,16.206053,16.503014,16.380594,15.944362,15.840828,16.633549,16.468775,15.797528,16.744013,16.505157,15.936437,16.052513,16.449707,C1688 - 3.737,3.7642667,929.5467,930.5506,,Target,,0
not found ,,504.382,505.3854,C1690 - 2.98,2.98,22875.145,20716.111,25717.104,86647.305,41975.17,16059.632,46621.02,25907.285,46265.848,63739.816,41539.11,42412.33,35894.324,41032.32,18679.814,46560.277,39642.684,57126.797,35564.816,32311.58,20760.064,20232.416,29576.26,19782.072,51437.96,28260.176,21550.463,36757.793,41389.047,14.481494,14.338466,14.650441,16.402866,15.357248,13.971151,15.508693,14.66107,15.49766,15.959908,15.342183,15.372196,15.131469,15.324472,14.189192,15.506811,15.274767,15.80188,15.118162,14.979763,14.341523,14.30438,14.852152,14.271906,15.650546,14.786482,14.395431,15.165763,15.336962,C1690 - 2.98,2.9028833,504.382,505.3854,,Target,,0
not found ,,711.5696,712.5737,C1706 - 7.447,7.447,26133.752,34672.74,58480.52,30077.488,36103.43,40174.652,37925.406,30344.143,18416.752,36256.73,27214.17,30085.71,42636.6,69861.51,42918.4,19467.158,35854.598,46980.297,56346.61,14709.02,60771.668,48816,10430.995,50454.14,43973.55,31198.184,17918.258,34283.45,44080.35,14.673627,15.081513,15.835669,14.876396,15.139849,15.293998,15.210877,14.889131,14.168732,15.145962,14.732071,14.876791,15.379805,16.09221,15.389309,14.2487545,15.129871,15.519768,15.782042,13.844414,15.891111,15.575067,13.348589,15.622685,15.424348,14.929174,14.129143,15.065225,15.427848,C1706 - 7.447,7.590783,711.5696,712.5737,,Target,,0
not found ,,559.399,560.4022,C1716 - 1.766,1.766,10572.101,46019.07,69684.77,39915.477,46969.074,33733.79,54742.59,66831.07,38290.316,44625.65,56226.195,83214.77,42944.94,36546.293,53111.32,64541.406,55655.64,39619.094,38364.668,38672.625,34589.25,43992.402,79942.89,81194.56,71936.88,62620.445,55124.95,63451.836,13405.745,13.367975,15.489944,16.088556,15.284661,15.519424,15.041906,15.740376,16.02823,15.224692,15.445585,15.7789545,16.344551,15.390201,15.157437,15.696732,15.977937,15.76424,15.273909,15.227491,15.239025,15.078035,15.424967,16.286682,16.309095,16.134443,15.934346,15.750418,15.953375,13.710565,C1716 - 1.766,1.8593,559.399,560.4022,,Target,,0
not found ,,911.5398,912.541,C1722 - 6.089,6.089,188379.88,59869.137,7130.6753,165714.12,44150.69,6541.047,7088.463,11249.714,23844.404,21792.924,41634.844,52689.785,127268.15,8243.218,138914,47540.9,164450.75,63144.863,36071.164,28663.357,47794.39,111478.95,171684.67,158689.95,110960.72,135173.84,34161.344,24452.64,16112.864,17.523285,15.869524,12.799823,17.338337,15.430148,12.675305,12.791256,13.457602,14.541363,14.411572,15.345504,15.685236,16.957512,13.008992,17.083832,15.536881,17.327295,15.946377,15.138558,14.806921,15.544554,16.76641,17.3894,17.27585,16.75969,17.044456,15.060078,14.5777025,13.975925,C1722 - 6.089,6.1496334,911.5398,912.541,,Target,,0
found  ,,476.4115,477.4147,C1727 - 4.276,4.276,51101.723,111344.48,234535.8,658370.75,143156.9,51261.05,668520.3,38302.29,138403.33,933696.9,97103.64,938637,131532.02,52045.098,16205.751,655627.8,230005.36,137421.84,14030.8,498122,29251.19,21653.324,89063.59,121064.78,35822.87,13916.176,24300.584,196188.6,82677.375,15.641085,16.764671,17.839449,19.32854,17.127237,15.645576,19.35061,15.2251425,17.07852,19.832594,16.567238,19.840208,17.005054,15.667475,13.984219,19.322517,17.811308,17.068253,13.77631,18.92614,14.836207,14.402301,16.442549,16.88542,15.1285925,13.764475,14.568704,17.58188,16.335205,C1727 - 4.276,4.3192,476.4115,477.4147,,Target,,0
not found ,,929.7058,930.7089,C1729 - 3.556,3.556,24564.47,41662.465,94925.57,67846.52,59374.11,84976.51,4705.698,77252.11,4382.895,5552.894,5219.482,5087.878,61489.945,65071.234,77029.45,73392.58,67184.195,88064.984,70368.984,3640.029,51941.586,88228.414,87528.26,58571.05,95157.41,84646.81,55040.836,61584.062,83818.61,14.584286,15.34646,16.53451,16.049988,15.857546,16.374777,12.200193,16.237286,12.097669,12.439024,12.34969,12.312849,15.908062,15.989732,16.233124,16.163347,16.035833,16.426281,16.102652,11.829735,15.664602,16.428955,16.417461,15.8379,16.538029,16.36917,15.748215,15.910269,16.354982,C1729 - 3.556,3.7642667,929.7058,930.7089,,Target,,0
not found ,,876.691,877.6937,C1732 - 7.167,7.167,39386.39,23513.604,32732.918,36003.727,65804.164,31567.26,81874.02,46441.016,45073.73,4549.9507,34329.64,49357.586,14827.709,31112.893,25139.674,8020.2114,27013.879,69128.14,28181.36,79179.16,64837.344,29567.656,45857.74,103537.19,16631.564,36228.215,15414.938,30378.947,57269.605,15.265409,14.521208,14.998454,15.135859,16.005892,14.946141,16.321117,15.503112,15.459999,12.151635,15.067167,15.590984,13.856008,14.925225,14.617678,12.969425,14.721414,16.076984,14.782454,16.272833,15.984537,14.851732,15.484878,16.65979,14.021637,15.144827,13.912042,14.890785,15.805482,C1732 - 7.167,7.2512,876.691,877.6937,,Target,,0
found  ,,738.639,739.6399,C1737 - 6.968,6.968,8170.396,89667.01,89496.48,113766.3,9097.8125,86304.445,96960.75,93740.1,75198.25,75509.59,108233.07,95120.375,80853.99,94355.664,116439.16,99325.484,97819.7,78261.05,6287.25,113012.24,6251.018,126702.19,51603.016,92046.35,83248.4,73163.69,95215.98,8286.615,102353.055,12.996191,16.45229,16.449543,16.795713,13.151304,16.397148,16.565113,16.516378,16.198412,16.204372,16.723782,16.537466,16.30303,16.525822,16.829216,16.599876,16.577837,16.256006,12.618213,16.78612,12.609876,16.951082,15.655168,16.490074,16.345135,16.15884,16.538916,13.016567,16.643194,C1737 - 6.968,7.2180667,738.639,739.6399,,Target,,0
not found ,,766.6708,767.6741,C1741 - 6.971,6.971,54551.934,254607.4,27587.473,473734.94,19039.43,217548.3,409230.4,248856.69,12076.561,238641.23,37117.848,253021.16,312694.72,279719.75,331982.78,166686.78,314287.5,266342.6,312786.66,338022.53,337857.03,35271.406,83657.26,133841.9,41798.812,13087.914,23267.896,391985.72,89844.38,15.735342,17.957914,14.751725,18.85372,14.216702,17.730976,18.642553,17.924955,13.559922,17.864483,15.179826,17.948898,18.254395,18.093624,18.340748,17.346779,18.261726,18.022923,18.25482,18.366758,18.366053,15.106212,16.352203,17.03017,15.351174,13.675947,14.506053,18.58044,16.455141,C1741 - 6.971,7.1683664,766.6708,767.6741,,Target,,0
not found ,,913.5839,914.5868,C1753 - 6.593,6.593,19500.252,10290.19,22391.338,16471.527,15763.673,18361.352,28608.46,21069.799,18087.738,167900.2,135792.48,154232.64,18897.111,2042.0377,20806.193,42806.85,21734.684,24263.617,25587.611,12389.834,24318.494,37198.895,3765.9011,44457.473,14296.719,17740.543,21332.283,7160.1143,100053.73,14.2512045,13.328981,14.450654,14.007687,13.944316,14.164385,14.804153,14.362889,14.142725,17.357244,17.051044,17.234749,14.205878,10.995794,14.344725,15.385554,14.407712,14.566506,14.643157,13.5968685,14.569766,15.182972,11.878779,15.440139,13.803396,14.114762,14.380751,12.805766,16.610416,C1753 - 6.593,6.7294,913.5839,914.5868,,Target,,0
