# Notes : 
#Entity List : 3 of 29 Filtered on Flags [Present] 
#Interpretation : Sample  (Non-averaged)
#Experiment : Quant - Green Tea All Compounds_SBAQ_Area
#Data to filter on : Raw Data
#Lower cut-off: 20000.0
#Upper cut-off: 63766108.0
#Entities where at least 3 out of 29 samples have values within cut-off
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.Quant All Tea Compounds_2022_Feb_06_15_19_59
# Owner : gxuser
# Created On : Mon Feb 07 10:43:18 MST 2022
Compound	report.results_GT_001_SBAQ_1(raw)	report.results_GT_001_SBAQ_10(raw)	report.results_GT_001_SBAQ_11(raw)	report.results_GT_001_SBAQ_12(raw)	report.results_GT_001_SBAQ_13(raw)	report.results_GT_001_SBAQ_14(raw)	report.results_GT_001_SBAQ_15(raw)	report.results_GT_001_SBAQ_16(raw)	report.results_GT_001_SBAQ_17(raw)	report.results_GT_001_SBAQ_18(raw)	report.results_GT_001_SBAQ_19(raw)	report.results_GT_001_SBAQ_2(raw)	report.results_GT_001_SBAQ_20(raw)	report.results_GT_001_SBAQ_21(raw)	report.results_GT_001_SBAQ_22(raw)	report.results_GT_001_SBAQ_23(raw)	report.results_GT_001_SBAQ_24(raw)	report.results_GT_001_SBAQ_25(raw)	report.results_GT_001_SBAQ_26(raw)	report.results_GT_001_SBAQ_27(raw)	report.results_GT_001_SBAQ_28(raw)	report.results_GT_001_SBAQ_29(raw)	report.results_GT_001_SBAQ_3(raw)	report.results_GT_001_SBAQ_4(raw)	report.results_GT_001_SBAQ_5(raw)	report.results_GT_001_SBAQ_6(raw)	report.results_GT_001_SBAQ_7(raw)	report.results_GT_001_SBAQ_8(raw)	report.results_GT_001_SBAQ_9(raw)	report.results_GT_001_SBAQ_1: Log2(normalized)	report.results_GT_001_SBAQ_10: Log2(normalized)	report.results_GT_001_SBAQ_11: Log2(normalized)	report.results_GT_001_SBAQ_12: Log2(normalized)	report.results_GT_001_SBAQ_13: Log2(normalized)	report.results_GT_001_SBAQ_14: Log2(normalized)	report.results_GT_001_SBAQ_15: Log2(normalized)	report.results_GT_001_SBAQ_16: Log2(normalized)	report.results_GT_001_SBAQ_17: Log2(normalized)	report.results_GT_001_SBAQ_18: Log2(normalized)	report.results_GT_001_SBAQ_19: Log2(normalized)	report.results_GT_001_SBAQ_2: Log2(normalized)	report.results_GT_001_SBAQ_20: Log2(normalized)	report.results_GT_001_SBAQ_21: Log2(normalized)	report.results_GT_001_SBAQ_22: Log2(normalized)	report.results_GT_001_SBAQ_23: Log2(normalized)	report.results_GT_001_SBAQ_24: Log2(normalized)	report.results_GT_001_SBAQ_25: Log2(normalized)	report.results_GT_001_SBAQ_26: Log2(normalized)	report.results_GT_001_SBAQ_27: Log2(normalized)	report.results_GT_001_SBAQ_28: Log2(normalized)	report.results_GT_001_SBAQ_29: Log2(normalized)	report.results_GT_001_SBAQ_3: Log2(normalized)	report.results_GT_001_SBAQ_4: Log2(normalized)	report.results_GT_001_SBAQ_5: Log2(normalized)	report.results_GT_001_SBAQ_6: Log2(normalized)	report.results_GT_001_SBAQ_7: Log2(normalized)	report.results_GT_001_SBAQ_8: Log2(normalized)	report.results_GT_001_SBAQ_9: Log2(normalized)	Compound Name	Retention Time	Measured Retention Time	Product Mass	QualifierMass	CASNumber	CompoundType	ISTDCompoundName	Mass Column
Valganciclovir_8.169	16451.324	7235.483	32782.79	7598.1157	50207.086	10634.972	1.0E-5	26931.646	57143.44	15416.308	43614.723	13965.296	1.0E-5	12501.916	11178.149	16301.306	33929.895	13266.2	1.0E-5	7576.6724	7348.0664	23878.021	16530.844	8457.813	15585.976	10896.112	3453.3696	12386.176	20365.9	14.005917	12.820873	15.000651	12.891426	15.615603	13.376529	-16.60964	14.717015	15.8022995	13.912169	15.412528	13.769558	-16.60964	13.609862	13.448394	13.9927	15.050269	13.695467	-16.60964	12.887349	12.843148	14.543395	14.012873	13.046068	13.927961	13.411527	11.75379	13.596443	14.3138685	Valganciclovir_8.169	8.169	8.20805	355.1732	356.1767	175865-60-8	Target		0.0
Picrotoxinin_6.542	1.0E-5	43192.594	34839.51	1.0E-5	1.0E-5	94858.73	1.0E-5	1.0E-5	1.0E-5	1.0E-5	17886.695	1.0E-5	35003.86	1.0E-5	16408.027	1.0E-5	1.0E-5	30717.018	4943.9077	1.0E-5	66048.34	1.0E-5	40240.14	118245.43	1.0E-5	1.0E-5	63959.91	8700.516	1.0E-5	-16.60964	15.398497	15.088437	-16.60964	-16.60964	16.533493	-16.60964	-16.60964	-16.60964	-16.60964	14.1266	-16.60964	15.095227	-16.60964	14.002114	-16.60964	-16.60964	14.906751	12.271436	-16.60964	16.011236	-16.60964	15.296348	16.851423	-16.60964	-16.60964	15.96488	13.0868845	-16.60964	Picrotoxinin_6.542	6.542	6.585467	293.0996	294.1035	17617-45-7	Target		0.0
Valyl-Hydroxyproline_1.651	294056.3	3583.94	7032.5864	18484.375	222386.55	8843.127	31741.18	138463.55	43979.17	229497.39	467901.0	408957.3	12669.726	57632.492	1.0E-5	225057.23	45619.543	171415.52	32784.24	17536.037	4828.9478	776665.75	7031.197	1.0E-5	370345.16	36758.746	11952.121	133914.31	445896.7	18.165733	11.807331	12.7798395	14.174019	17.762709	13.110341	14.954067	17.079147	15.424532	17.808119	18.835844	18.64159	13.629098	15.814594	-16.60964	17.779932	15.477364	17.387138	15.000714	14.098036	12.237493	19.566935	12.779554	-16.60964	18.49851	15.1658	13.544979	17.03095	18.76635	Valyl-Hydroxyproline_1.651	1.651		231.1341	232.1373		Target		0.0
Neurine_1.181	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	397276.38	1.0E-5	1.0E-5	452243.2	389506.2	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	662832.75	1.0E-5	1.0E-5	966061.4	1.0E-5	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	18.599783	-16.60964	-16.60964	18.78674	18.571287	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	19.338285	-16.60964	-16.60964	19.881756	-16.60964	Neurine_1.181	1.181		104.1069		463-88-7	Target		0.0
Pipecolinic acid*_1.202	1209250.8	1516337.1	1177188.4	1503398.9	405586.9	839314.25	79542.45	488625.56	452187.16	1045726.1	514813.4	792014.4	984019.94	1135627.8	352336.9	916841.4	1263091.8	968129.9	1487870.5	1206214.0	686020.0	1210356.6	1248566.2	1080639.4	661356.3	629295.25	763379.4	1258608.4	781674.4	20.20568	20.53216	20.166914	20.519796	18.629652	19.678852	16.279438	18.89837	18.78656	19.996073	18.97369	19.595167	19.908327	20.115059	18.426596	19.806313	20.268528	19.88484	20.504818	20.202055	19.387892	20.207	20.25184	20.043453	19.335068	19.263378	19.54204	20.263397	19.576208	Pipecolinic acid*_1.202	1.202		130.0872		3105-95-1	Target		0.0
C77 - 1.282	35293.6	22780.566	24798.896	62949.812	27362.057	20156.92	34871.64	5983.8594	20387.703	1.0E-5	1.0E-5	15362.708	22170.953	32282.26	22270.928	41514.47	36747.875	28810.459	31149.535	35445.137	10674.482	31774.47	13998.564	13495.568	1.0E-5	46771.535	29990.928	16387.818	38743.582	15.107119	14.475515	14.597988	15.941914	14.739888	14.298987	15.089766	12.546861	14.3154125	-16.60964	-16.60964	13.907145	14.436383	14.978454	14.442875	15.341327	15.165374	14.814305	14.926923	15.1133	13.381878	14.955581	13.772991	13.720198	-16.60964	15.513343	14.872238	14.000336	15.24167	C77 - 1.282	1.282	1.2872167	84.0442			Target		0.0
Lupinate_1.461	13516.582	8498.47	11667.183	4257.046	17062.236	16619.148	22143.46	20308.242	3631.2737	8712.525	14061.988	21528.635	17056.95	6539.086	7826.392	7723.9033	5926.612	8006.138	10995.165	13730.896	20248.607	20661.965	7494.5728	51192.473	20532.8	12588.447	15902.128	29397.277	10610.426	13.722444	13.052988	13.510169	12.055637	14.058519	14.020558	14.434593	14.309778	11.826261	13.088876	13.779512	14.39397	14.058072	12.674873	12.934132	12.915114	12.532992	12.96689	13.424582	13.745138	14.305534	14.334689	12.87163	15.643643	14.325643	13.619812	13.956933	14.843394	13.373195	Lupinate_1.461	1.461		307.1503	308.1537		Target		0.0
Threoninyl-Proline_3.631	76959.445	411932.94	77777.01	65381.12	16655.945	55256.973	1.0E-5	32407.682	46668.902	1.0E-5	1.0E-5	1.0E-5	51218.727	94480.45	135368.72	1.0E-5	100428.01	38406.35	101804.2	162247.36	76774.99	1.0E-5	26403.271	42279.13	71247.625	370537.56	20449.898	7858.8613	41115.9	16.231812	18.65205	16.247057	15.996587	14.02375	15.753869	-16.60964	14.984048	15.510174	-16.60964	-16.60964	-16.60964	15.644383	16.527727	17.046535	-16.60964	16.615803	15.229056	16.635437	17.307837	16.22835	-16.60964	14.688429	15.367659	16.120554	18.49926	14.319806	12.940104	15.327409	Threoninyl-Proline_3.631	3.631		239.1005	455.2117		Target		0.0
C98 - 0.846	433479.8	464474.84	626464.0	417570.0	513082.4	618025.4	453567.88	400106.84	412569.8	452341.0	378170.38	461896.7	447391.06	441947.03	621590.3	487562.7	532564.5	383976.34	436639.2	431671.16	531503.94	535432.25	550586.6	425955.7	529469.1	456908.28	368160.47	569964.2	450232.6	18.725605	18.825241	19.256872	18.671658	18.96883	19.237307	18.790958	18.610025	18.654278	18.787052	18.528677	18.817211	18.771177	18.753513	19.245604	18.895227	19.022596	18.550657	18.736082	18.719572	19.01972	19.030344	19.07061	18.700344	19.014187	18.801544	18.489975	19.120512	18.780312	C98 - 0.846	0.846	0.8319	265.0157	266.0174		Target		0.0
5'-Adenosine monophosphate_1.642	3282301.8	6591378.0	8235889.5	9681461.0	4716256.0	4684095.5	6629386.5	3214442.8	3178791.2	3074871.8	2512914.2	2755927.8	4512157.0	4392795.5	5781426.0	2342998.8	1.0554347E7	4117757.8	9657040.0	4299993.0	3936684.5	2624745.0	8867258.0	4095227.8	5560708.5	4790021.0	1413030.0	8110278.5	2418883.0	21.646276	22.65215	22.973494	23.206795	22.16921	22.159338	22.660444	21.616137	21.600046	21.552095	21.26093	21.394106	22.105385	22.066708	22.462994	21.159925	23.331335	21.973429	23.20315	22.035904	21.908548	21.323746	23.080057	21.965513	22.406837	22.1916	20.43036	22.95132	21.20591	5'-Adenosine monophosphate_1.642	1.642	1.6514833	348.0706	349.0737		Target		0.0
N2,N2-Dimethylguanosine_6.33	218098.34	302139.2	288339.62	240326.5	217816.48	274503.0	224462.67	177269.17	249303.94	171944.12	191757.25	189934.97	211844.66	223352.38	342789.3	221350.05	249885.33	205343.55	283950.9	400507.53	321623.72	177563.98	292570.44	406569.4	178502.05	254258.42	233249.6	209293.33	159507.36	17.73462	18.204853	18.13741	17.874636	17.732754	18.066462	17.776115	17.435581	17.927546	17.39158	17.548922	17.535147	17.692648	17.768963	18.386963	17.75597	17.930906	17.64768	18.115282	18.61147	18.295015	17.43798	18.158424	18.633142	17.445581	17.955936	17.831514	17.675167	17.283262	N2,N2-Dimethylguanosine_6.33	6.33	6.328833	312.1312	313.1326	2140-67-2	Target		0.0
Pyroglutamic acid_1.282	1.0E-5	15560.581	12701.971	34405.26	31672.775	1.0E-5	1.0E-5	16717.3	39814.344	34562.863	30036.713	19157.18	9707.664	1.0E-5	13461.984	12129.325	31833.008	13022.853	19036.568	34248.086	1.0E-5	40510.297	37181.336	1.0E-5	1.0E-5	25990.035	1657.8916	18310.71	28860.975	-16.60964	13.925609	13.632765	15.070342	14.950955	-16.60964	-16.60964	14.029054	15.281001	15.076935	14.874439	14.225597	13.244908	-16.60964	13.716603	13.566212	14.958237	13.668757	14.216486	15.063736	-16.60964	15.306001	15.182291	-16.60964	-16.60964	14.66567	10.695134	14.1604	14.816833	Pyroglutamic acid_1.282	1.282	1.3037833	130.0497		149-87-1	Target		0.0
Adenine_2.163	12398.171	38902.44	352891.06	396875.38	176904.56	32816.766	352584.6	18329.88	270317.72	303790.66	201057.0	234123.22	311910.34	89920.234	226060.61	21062.463	382065.72	316095.94	282251.06	174521.75	12517.691	184779.08	390907.56	209337.34	215023.53	189720.52	197839.61	13358.863	271439.38	13.59784	15.247573	18.428864	18.598326	17.432611	15.002146	18.427608	14.16191	18.044296	18.212717	17.617245	17.836908	18.25077	16.456358	17.78635	14.362387	18.54346	18.270002	18.106619	17.413046	13.611681	17.495441	18.576468	17.67547	17.714134	17.533516	17.593973	13.705509	18.05027	Adenine_2.163	2.163	2.1316333	136.0619		73-24-5	Target		0.0
Succinic anhydride_1.794	56628.45	1.0E-5	20025.912	171147.92	144850.38	194687.5	92650.39	48718.137	166514.36	68513.625	44182.758	63384.9	90169.45	1.0E-5	386553.1	71663.76	246181.16	51417.215	1.0E-5	205389.39	246239.1	41073.246	50919.77	19704.965	143008.8	76528.98	34832.184	1.0E-5	89225.5	15.789239	-16.60964	14.28958	17.384884	17.144203	17.5708	16.49951	15.572172	17.345287	16.064102	15.431195	15.951852	16.46035	-16.60964	18.560307	16.128956	17.90936	15.649964	-16.60964	17.648003	17.9097	15.3259115	15.635939	14.266272	17.125744	16.223719	15.088133	-16.60964	16.445168	Succinic anhydride_1.794	1.794	1.7922167	101.0233		108-30-5	Target		0.0
Coumarone_1.827	949702.94	1074595.4	1964876.4	1674800.8	1776132.5	2706657.5	958848.5	1550479.5	1094563.4	1107431.4	6970083.0	807355.75	1125977.1	1434496.0	1034865.1	656919.4	1545394.1	735633.2	1781801.8	897549.3	1454480.0	720124.75	989852.6	1745107.0	1284662.1	8877237.0	971796.44	1291419.8	721568.44	19.857117	20.035362	20.906008	20.675558	20.760307	21.36808	19.870943	20.564283	20.061924	20.078787	22.732744	19.622845	20.102747	20.452112	19.981012	19.325356	20.559544	19.488626	20.764906	19.77563	20.472073	19.457888	19.916855	20.734884	20.292957	23.081678	19.890295	20.300526	19.460777	Coumarone_1.827	1.827	1.8418833	136.0753		271-89-6	Target		0.0
N-(1-Deoxy-1-fructosyl)phenylalanine_2.429	1637510.2	1781563.4	1325977.4	2475513.5	710170.2	1022386.8	1369485.6	788454.25	2482136.0	661437.3	1159696.2	1805242.9	626522.25	1547928.4	1326301.0	1233811.1	1837797.6	1022194.94	1922167.5	1839702.1	654084.25	1168065.2	1492128.5	967337.5	978310.75	2624639.8	870896.06	691275.1	1437768.8	20.643072	20.764711	20.338625	21.239296	19.437805	19.963509	20.385202	19.588667	21.24315	19.335245	20.145315	20.783762	19.257006	20.561907	20.338976	20.23469	20.809547	19.963238	20.874302	20.81104	19.319117	20.15569	20.50894	19.88366	19.899933	21.323689	19.73214	19.3989	20.4554	N-(1-Deoxy-1-fructosyl)phenylalanine_2.429	2.429	2.39655	328.1388	329.1421	87251-83-0	Target		0.0
C128 - 1.015	1.8385676E7	1.6582027E7	1.7784176E7	1.27537E7	1.5930595E7	1.4864732E7	1.7441074E7	1.6740778E7	1.518464E7	1.7253324E7	1.721089E7	1.6851124E7	1.688745E7	1.5100043E7	1.6634881E7	1.5543338E7	1.3790338E7	1.5053169E7	1.5332214E7	1.8784096E7	1.2292355E7	1.6638533E7	1.6088714E7	1.5558061E7	1.3449034E7	1.266929E7	1.5491374E7	1.5058548E7	1.9117154E7	24.13208	23.983118	24.08409	23.604412	23.925297	23.82539	24.055986	23.996862	23.85611	24.04037	24.036818	24.006342	24.009449	23.84805	23.987707	23.889793	23.717154	23.843565	23.870064	24.16301	23.551258	23.988024	23.939545	23.89116	23.680998	23.594833	23.884962	23.84408	24.188364	C128 - 1.015	1.015	1.00575	219.0268			Target		0.0
LL-2,6-DIAMINOHEPTANEDIOATE**_1.082	21285.734	19979.951	16371.704	26722.826	17048.982	7479.6436	16613.97	10803.704	27981.857	8061.8945	21133.0	13461.374	13840.883	23018.96	11408.354	18961.8	27058.18	29710.066	17888.53	22291.676	11443.626	19448.549	22424.527	14684.682	12228.283	22229.934	12897.528	11693.4	23815.477	14.3776	14.286265	13.998918	14.705785	14.057398	12.868753	14.020109	13.399239	14.772203	12.976903	14.36721	13.716538	13.756649	14.490535	13.477803	14.210808	14.723777	14.858664	14.126747	14.444218	13.482257	14.247375	14.45279	13.842025	13.577934	14.440216	13.654807	13.513408	14.539612	LL-2,6-DIAMINOHEPTANEDIOATE**_1.082	1.082	1.0802667	191.1027		14289-34-0	Target		0.0
Crotonic acid_1.021	274462.1	186249.62	187661.05	255489.78	120518.055	229673.38	138278.16	67491.414	258792.53	105059.67	134918.27	130472.78	115396.5	220665.78	191966.64	171315.95	227897.2	241014.06	242075.98	229606.75	107831.055	131459.5	174745.83	162571.1	83463.29	159438.8	125373.21	98354.555	128862.14	18.066248	17.506878	17.51777	17.962906	16.87889	17.809225	17.077213	16.042416	17.981438	16.68085	17.041727	16.99339	16.816238	17.751503	17.550497	17.3863	17.798023	17.878757	17.885101	17.808805	16.718412	17.00426	17.414898	17.31071	16.348854	17.282642	16.93587	16.585705	16.97547	Crotonic acid_1.021	1.021	1.0388666	104.0702	87.0441	3724-65-0	Target		0.0
C161 - 0.838	1594542.5	1609641.8	1847475.1	1505506.6	1731369.0	1898794.8	1562516.5	1494833.9	1476884.9	1606459.6	1495550.5	1630319.6	1587037.6	1587157.4	1880663.1	1626706.0	1726182.6	1456330.2	1581625.8	1525124.0	1805562.2	1714706.8	1735455.0	1587098.4	1748966.5	1617354.5	1465113.6	1833567.2	1593780.6	20.604712	20.618307	20.817123	20.521818	20.723482	20.856653	20.57544	20.511553	20.494125	20.615454	20.512245	20.636724	20.597906	20.598015	20.84281	20.633522	20.719152	20.473906	20.592978	20.540495	20.784018	20.70953	20.726883	20.59796	20.738071	20.625206	20.48258	20.806221	20.604021	C161 - 0.838	0.838	0.8401833	112.0065			Target		0.0
C184 - 1.038	137201.19	151922.17	133491.77	335253.3	41986.395	109973.664	122357.09	54301.633	317094.3	46200.19	85934.97	58451.203	54479.617	205687.44	109630.13	204830.28	336665.0	239942.36	256976.67	123273.34	37557.56	107424.25	172933.81	53176.625	42203.6	158363.56	75600.39	58111.637	134489.95	17.065933	17.212973	17.026392	18.354893	15.357634	16.746798	16.900738	15.728707	18.274553	15.49561	16.390959	15.834945	15.733428	17.650093	16.742285	17.64407	18.360954	17.872328	17.971277	16.9115	15.196816	16.712961	17.39986	15.698504	15.365079	17.27288	16.206106	15.82654	17.03714	C184 - 1.038	1.038	1.0140333	84.044			Target		0.0
Glycerophosphocholine_1.048	142714.06	128960.44	153400.16	302006.2	39989.7	87210.62	174658.89	38462.426	327861.25	34927.793	70668.44	66891.914	45260.316	215876.66	77410.88	128720.336	304923.72	287143.25	226779.12	103140.92	44828.48	77481.27	125529.266	37974.746	36841.023	136466.27	29367.145	55257.13	81606.46	17.122766	16.976568	17.22694	18.20422	15.287341	16.412216	17.41418	15.231162	18.322725	15.092089	16.108778	16.029543	15.46596	17.719847	16.24025	16.97388	18.21809	18.13141	17.790928	16.654259	15.452128	16.24156	16.937664	15.212753	15.169025	17.058184	14.841916	15.753874	16.316397	Glycerophosphocholine_1.048	1.048	1.0305834	258.1102		28319-77-9	Target		0.0
C206 - 0.838	1212512.8	1249960.6	1405917.6	1164034.2	1317054.6	1423773.1	1222134.8	1184267.1	1154611.2	1232987.4	1122628.2	1234179.6	1234234.2	1204969.4	1401198.1	1249535.2	1298818.5	1112311.5	1221908.0	1169659.0	1387886.4	1300844.0	1302157.4	1256595.9	1324120.6	1235228.9	1122195.4	1398951.6	1212196.5	20.209568	20.253452	20.42308	20.150702	20.328882	20.441288	20.220972	20.175562	20.138975	20.233727	20.098448	20.23512	20.235184	20.200565	20.41823	20.25296	20.308767	20.08513	20.220705	20.157658	20.404457	20.311016	20.312471	20.26109	20.336603	20.236347	20.097893	20.415915	20.209192	C206 - 0.838	0.838	0.8319	153.0334			Target		0.0
Serratumin A_7.108	494473.03	2731167.2	549034.94	466757.66	500225.44	770937.44	459196.8	195608.27	559884.2	508577.72	204073.3	160839.28	1000274.94	477982.94	1036319.0	617369.25	347477.9	604740.94	324311.84	948173.25	729009.4	607721.3	1072380.9	659610.25	158440.89	651691.3	1520543.2	583340.7	634427.56	18.915533	21.381086	19.066538	18.832314	18.932219	19.556255	18.808754	17.577608	19.094769	18.95611	17.638727	17.295261	19.931965	18.8666	19.983038	19.235773	18.40656	19.205957	18.307022	19.854792	19.475578	19.21305	20.032387	19.331255	17.273584	19.31383	20.536156	19.153978	19.275095	Serratumin A_7.108	7.108		343.1366	344.1403		Target		0.0
C222 - 0.954	833404.25	921942.94	644009.6	358593.34	1472725.6	1175407.8	578075.3	1165991.8	352550.94	1343638.1	1027555.9	854771.4	1176951.8	858657.5	813337.3	706121.9	408883.25	582669.6	600407.94	718164.56	1965855.0	616833.25	551768.25	1402787.2	1215453.4	702911.94	1295467.6	1292251.6	823097.56	19.668657	19.814318	19.296722	18.45199	20.490057	20.16473	19.140898	20.153126	18.427471	20.357714	19.970785	19.70518	20.166624	19.711723	19.633493	19.429558	18.641329	19.152319	19.195583	19.453955	20.906725	19.23452	19.073704	20.419865	20.213062	19.422985	20.30504	20.301455	19.650703	C222 - 0.954	0.954	0.93125	122.9244			Target		0.0
C223 - 0.846	231303.58	256792.72	340785.53	231111.17	287497.84	334196.66	259250.06	222953.05	228341.55	245863.14	208477.23	254925.48	242661.03	247965.86	333655.72	272427.78	284818.06	217695.73	248149.38	233120.61	283468.47	297742.56	301705.34	239056.89	279078.94	255753.45	197893.25	305588.66	242008.1	17.819427	17.970243	18.378506	17.818228	18.133192	18.350338	17.983986	17.76638	17.800835	17.907495	17.66953	17.959717	17.888582	17.919783	18.348001	18.055515	18.11968	17.731953	17.920849	17.830717	18.11283	18.183706	18.202782	17.866995	18.090315	17.964394	17.594362	18.221231	17.884695	C223 - 0.846	0.846	0.8401833	225.9876	226.989		Target		0.0
Kynurenic acid_7.267	356138.38	1336696.5	891546.25	466933.8	392126.47	821275.44	680757.1	464068.16	634479.4	354814.03	365070.53	389350.34	780706.94	644436.75	909985.94	663586.3	778767.5	520639.0	571594.06	957649.44	1389617.0	464836.47	570308.25	633427.3	276980.5	1150191.2	883367.9	583067.3	345871.88	18.442078	20.35024	19.76595	18.832859	18.58096	19.647507	19.37678	18.823977	19.275215	18.436705	18.477816	18.57071	19.57442	19.29768	19.795485	19.339926	19.570833	18.989923	19.124632	19.869137	20.406256	18.826365	19.121382	19.27282	18.079424	20.133442	19.752655	19.153303	18.399878	Kynurenic acid_7.267	7.267	7.28085	190.0499	191.0534	492-27-3	Target		0.0
4-Hydroxy-5-(phenyl)-valeric acid-O-glucuronide_8.391	41765.77	90250.65	29531.004	34300.152	30890.162	24956.398	44871.98	13767.032	29500.078	31597.77	16237.28	5734.372	31702.873	44883.49	37976.04	75080.32	38372.92	26952.748	39685.367	27469.07	21905.125	9781.556	56194.05	28560.713	15924.644	160529.47	34616.54	22827.572	19376.977	15.350034	16.461649	14.849942	15.0659275	14.91486	14.607122	15.453527	13.74893	14.848432	14.947535	13.987023	12.48542	14.952326	15.453897	15.212802	16.196146	15.2278	14.718144	15.276319	14.74552	14.418982	13.255848	15.77813	14.801744	13.958973	17.292479	15.079173	14.47849	14.242055	4-Hydroxy-5-(phenyl)-valeric acid-O-glucuronide_8.391	8.391	8.43985	371.1325	372.1358		Target		0.0
Xanthurenic acid_7.166	256461.94	2417664.8	612863.4	482975.62	155058.25	713008.06	577126.0	404738.72	425002.03	224380.92	317638.4	209984.89	574292.44	1159791.6	835259.1	272001.47	464563.1	278098.7	1002264.0	1071944.1	1551786.2	243198.48	493949.34	721184.1	167059.69	2409804.8	907603.0	335765.78	272687.16	17.968386	21.205183	19.225206	18.881592	17.24245	19.44356	19.138527	18.626633	18.697111	17.77559	18.277025	17.679926	19.131426	20.145433	19.671864	18.053255	18.825516	18.085238	19.934832	20.0318	20.565498	17.891775	18.914003	19.460007	17.350004	21.200485	19.791702	18.357096	18.056889	Xanthurenic acid_7.166	7.166	7.189783	206.0447	207.0483	59-00-7	Target		0.0
Picrotoxinin_7.784	74708.27	31010.943	10334.433	1.0E-5	58322.3	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	63624.355	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	24816.047	132239.62	42201.344	1.0E-5	1.0E-5	28453.506	1.0E-5	50670.92	1.0E-5	1.0E-5	35814.297	16.18898	14.920489	13.335172	-16.60964	15.831759	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	15.957292	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	14.598986	17.012794	15.365002	-16.60964	-16.60964	14.796318	-16.60964	15.628871	-16.60964	-16.60964	15.128247	Picrotoxinin_7.784	7.784	7.8355165	293.0997	294.1032	17617-45-7	Target		0.0
delta-Guanidinovaleric acid_1.89	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	55701.273	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	33856.645	20436.334	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	49777.04	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	48333.66	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	15.765423	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	15.047152	14.318849	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	15.603193	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	15.560741	delta-Guanidinovaleric acid_1.89	1.89		160.1069		462-93-1	Target		0.0
C275 - 6.79	25295.592	1.0E-5	3947.5654	1621.8301	52133.67	1.0E-5	4728.0146	35181.395	2821.9172	5570.134	4150.81	44829.586	4068.1365	16167.679	7852.1987	33575.117	1.0E-5	6714.9985	1.0E-5	1987.2106	1682.2843	27370.803	1.0E-5	2718.8127	13600.898	1.0E-5	1.0E-5	10177.203	42591.543	14.626599	-16.60964	11.946747	10.663407	15.669929	-16.60964	12.207019	15.102525	11.46246	12.443497	12.0191765	15.452164	11.990153	13.980824	12.938881	15.035105	-16.60964	12.713171	-16.60964	10.956529	10.716206	14.74035	-16.60964	11.408761	13.731414	-16.60964	-16.60964	13.313053	15.37828	C275 - 6.79	6.79	6.7593	467.1885	468.1921		Target		0.0
C294 - 1.997	44770.445	47782.504	57340.26	15257.718	61158.83	22499.744	18837.396	40565.6	20884.482	1.0E-5	13411.895	118280.25	65029.812	10868.066	81023.54	1.0E-5	23632.979	1.0E-5	1.0E-5	103939.32	1.0E-5	132690.92	49078.75	1.0E-5	23967.307	60761.895	22057.84	11445.918	64648.043	15.450259	15.544195	15.807261	13.897252	15.900273	14.457621	14.201312	15.307969	14.350144	-16.60964	13.711226	16.851849	15.988814	13.407807	16.306053	-16.60964	14.528514	-16.60964	-16.60964	16.665382	-16.60964	17.017712	15.582811	-16.60964	14.54878	15.890879	14.429005	13.482546	15.98032	C294 - 1.997	1.997	1.9660667	160.1055			Target		0.0
