# Notes : 
#Entity List : 3 of 29 Filtered on Flags [Present] 
#Interpretation : Sample  (Non-averaged)
#Experiment : Quant - Green Tea All Compounds_SBAQ_Area
#Data to filter on : Raw Data
#Lower cut-off: 20000.0
#Upper cut-off: 63766108.0
#Entities where at least 3 out of 29 samples have values within cut-off
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.Quant All Tea Compounds_2022_Feb_06_15_19_59
# Owner : gxuser
# Created On : Mon Feb 07 10:43:18 MST 2022
Compound	report.results_GT_001_SBAQ_1(raw)	report.results_GT_001_SBAQ_10(raw)	report.results_GT_001_SBAQ_11(raw)	report.results_GT_001_SBAQ_12(raw)	report.results_GT_001_SBAQ_13(raw)	report.results_GT_001_SBAQ_14(raw)	report.results_GT_001_SBAQ_15(raw)	report.results_GT_001_SBAQ_16(raw)	report.results_GT_001_SBAQ_17(raw)	report.results_GT_001_SBAQ_18(raw)	report.results_GT_001_SBAQ_19(raw)	report.results_GT_001_SBAQ_2(raw)	report.results_GT_001_SBAQ_20(raw)	report.results_GT_001_SBAQ_21(raw)	report.results_GT_001_SBAQ_22(raw)	report.results_GT_001_SBAQ_23(raw)	report.results_GT_001_SBAQ_24(raw)	report.results_GT_001_SBAQ_25(raw)	report.results_GT_001_SBAQ_26(raw)	report.results_GT_001_SBAQ_27(raw)	report.results_GT_001_SBAQ_28(raw)	report.results_GT_001_SBAQ_29(raw)	report.results_GT_001_SBAQ_3(raw)	report.results_GT_001_SBAQ_4(raw)	report.results_GT_001_SBAQ_5(raw)	report.results_GT_001_SBAQ_6(raw)	report.results_GT_001_SBAQ_7(raw)	report.results_GT_001_SBAQ_8(raw)	report.results_GT_001_SBAQ_9(raw)	report.results_GT_001_SBAQ_1: Log2(normalized)	report.results_GT_001_SBAQ_10: Log2(normalized)	report.results_GT_001_SBAQ_11: Log2(normalized)	report.results_GT_001_SBAQ_12: Log2(normalized)	report.results_GT_001_SBAQ_13: Log2(normalized)	report.results_GT_001_SBAQ_14: Log2(normalized)	report.results_GT_001_SBAQ_15: Log2(normalized)	report.results_GT_001_SBAQ_16: Log2(normalized)	report.results_GT_001_SBAQ_17: Log2(normalized)	report.results_GT_001_SBAQ_18: Log2(normalized)	report.results_GT_001_SBAQ_19: Log2(normalized)	report.results_GT_001_SBAQ_2: Log2(normalized)	report.results_GT_001_SBAQ_20: Log2(normalized)	report.results_GT_001_SBAQ_21: Log2(normalized)	report.results_GT_001_SBAQ_22: Log2(normalized)	report.results_GT_001_SBAQ_23: Log2(normalized)	report.results_GT_001_SBAQ_24: Log2(normalized)	report.results_GT_001_SBAQ_25: Log2(normalized)	report.results_GT_001_SBAQ_26: Log2(normalized)	report.results_GT_001_SBAQ_27: Log2(normalized)	report.results_GT_001_SBAQ_28: Log2(normalized)	report.results_GT_001_SBAQ_29: Log2(normalized)	report.results_GT_001_SBAQ_3: Log2(normalized)	report.results_GT_001_SBAQ_4: Log2(normalized)	report.results_GT_001_SBAQ_5: Log2(normalized)	report.results_GT_001_SBAQ_6: Log2(normalized)	report.results_GT_001_SBAQ_7: Log2(normalized)	report.results_GT_001_SBAQ_8: Log2(normalized)	report.results_GT_001_SBAQ_9: Log2(normalized)	Compound Name	Retention Time	Measured Retention Time	Product Mass	QualifierMass	CASNumber	CompoundType	ISTDCompoundName	Mass Column
5?-Deoxy-5?-(methylthio)adenosine_6.72	862925.06	1358954.4	1370680.6	1354899.1	1117774.4	1273548.9	728863.1	774921.8	774900.6	774789.7	586434.9	818300.4	795660.1	969832.2	1111464.9	717244.56	1001429.9	731746.06	1036462.94	816838.44	1123646.1	606160.2	1162686.9	1386977.0	1133795.5	1271765.0	920730.6	1328854.0	782979.06	19.718876	20.374065	20.386461	20.369755	20.092197	20.280422	19.475288	19.56369	19.563652	19.563444	19.161612	19.642271	19.601793	19.887377	20.08403	19.452106	19.93363	19.480984	19.983236	19.63969	20.099756	19.20934	20.14903	20.403513	20.112728	20.2784	19.81242	20.341751	19.578613	5?-Deoxy-5?-(methylthio)adenosine_6.72	6.72	6.7179165	298.0967	299.0994	2457-80-9	Target		0.0
Leucocyanidin_1.567	2163358.8	3846954.8	3426393.8	2960348.5	3076084.0	6865678.5	1346346.9	1470704.9	1139565.6	1877595.4	1109179.1	1287063.5	1927418.4	2723860.5	3299216.8	1671855.9	2616828.2	1399782.8	3362703.0	1609427.2	2010931.6	1184347.9	2010813.6	2724342.5	2922890.0	1687084.2	861638.75	2195721.5	1103846.4	21.044842	21.875284	21.70826	21.497335	21.552664	22.71097	20.360619	20.488075	20.120052	20.840454	20.08106	20.295652	20.878239	21.377222	21.653692	20.67302	21.319387	20.41677	21.68119	20.618114	20.939432	20.175661	20.939346	21.377476	21.478964	20.6861	19.716724	21.066263	20.074108	Leucocyanidin_1.567	1.567		307.0838	614.1629	480-17-1	Target		0.0
Enanderinanin G_8.653	37644.48	4500.4907	9300.363	767.9624	59632.895	3096.4954	1901.1261	25084.912	1.0E-5	6428.823	52488.082	85127.914	9476.941	1.0E-5	8154.3867	53771.89	2413.179	42619.08	8814.505	5089.364	1.0E-5	61011.117	12341.43	9571.451	49734.17	14282.964	1.0E-5	15772.103	51270.8	15.200151	12.135866	13.183071	9.584891	15.863821	11.59642	10.892639	14.614532	-16.60964	12.650339	15.679702	16.377344	13.210206	-16.60964	12.9933605	15.714565	11.236719	15.379211	13.105664	12.31327	-16.60964	15.896784	13.591222	13.224522	15.60195	13.802008	-16.60964	13.945088	15.645849	Enanderinanin G_8.653	8.653	8.655084	439.2308	440.2342		Target		0.0
Betonicine_4.389	1.0E-5	80444.16	1.0E-5	1.0E-5	11764.717	1.0E-5	4033.0247	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	10427.049	22230.914	22725.502	1.0E-5	1.0E-5	5288.4175	31498.695	12049.498	12558.226	1.0E-5	1.0E-5	8802.754	1.0E-5	12747.921	8248.527	6195.6436	1.0E-5	-16.60964	16.2957	-16.60964	-16.60964	13.522179	-16.60964	11.977647	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	13.3480425	14.44028	14.472025	-16.60964	-16.60964	12.368621	14.943005	13.556685	13.616345	-16.60964	-16.60964	13.103739	-16.60964	13.637974	13.009921	12.597038	-16.60964	Betonicine_4.389	4.389		182.0789	341.1687	515-25-3	Target		0.0
PARAXANTHINE**_6.813	281208.47	393702.94	378511.28	162517.56	233633.45	291634.22	495253.22	400259.28	449735.56	449839.56	300339.6	309345.66	291238.28	254116.45	411921.84	428796.56	553528.06	366726.88	405315.8	364581.72	314874.12	538153.44	340743.3	286805.06	445655.9	332047.94	332593.94	446257.8	493263.94	18.10128	18.586748	18.529976	17.310236	17.833887	18.153801	18.917807	18.610575	18.778717	18.77905	18.196236	18.238861	18.15184	17.95513	18.652012	18.709934	19.078297	18.484346	18.628687	18.475883	18.264416	19.037659	18.378326	18.129711	18.76557	18.341032	18.343403	18.767517	18.912	PARAXANTHINE**_6.813	6.813	6.81725	181.0718		611-59-6	Target		0.0
L-leucyl-L-proline_1.674	531730.25	552761.7	807215.56	120432.445	1072078.9	693898.7	645020.44	1043097.4	1399393.6	584775.5	572799.2	588507.94	629547.5	1399954.4	725613.2	764470.4	1194942.8	918379.25	221291.22	563633.8	492569.34	835099.1	641813.44	741648.4	728545.5	853718.44	397208.03	681032.56	641008.06	19.020334	19.076298	19.622595	16.877865	20.031979	19.404366	19.298985	19.992443	20.41637	19.157522	19.12767	19.166702	19.263956	20.416948	19.46884	19.544102	20.188509	19.808731	17.755587	19.104399	18.909967	19.671587	19.291794	19.500376	19.474659	19.7034	18.599535	19.377363	19.289982	L-leucyl-L-proline_1.674	1.674	1.6680334	229.1541	230.1582		Target		0.0
NICOTINAMIDE**_2.091	4882221.0	3805487.0	5928682.5	5128892.0	5767901.5	8428319.0	3509620.8	4759958.0	3818830.0	4579874.5	3794377.8	4768861.5	4839586.0	6153528.0	4621893.5	4387780.0	6112018.0	4822365.0	6356705.0	4224702.0	5469480.0	6375561.0	4724431.5	5471394.0	6774469.0	4678129.0	3134375.0	6349455.5	4443216.0	22.219107	21.85965	22.499279	22.290216	22.459614	23.006813	21.742884	22.182518	21.864698	22.126877	21.85543	22.185213	22.206451	22.552982	22.140053	22.06506	22.543217	22.20131	22.599848	22.010418	22.382973	22.604122	22.17171	22.383478	22.691675	22.157501	21.579746	22.598202	22.083172	NICOTINAMIDE**_2.091	2.091	2.0736833	123.0552		1094-61-7	Target		0.0
Prolylhydroxyproline_5.629	97390.34	106475.97	63578.926	43452.598	17818.537	26668.318	1.0E-5	21916.068	1441.1089	1.0E-5	1.0E-5	1.0E-5	37346.23	1.0E-5	52316.39	1.0E-5	4245.963	1.0E-5	61597.176	57558.297	59665.61	1.0E-5	1.0E-5	35437.805	3642.8115	1.0E-5	47172.34	31234.06	1.0E-5	16.571491	16.700169	15.956262	15.407155	14.121091	14.70284	-16.60964	14.419701	10.492964	-16.60964	-16.60964	-16.60964	15.188675	-16.60964	15.674974	-16.60964	12.051875	-16.60964	15.910576	15.812736	15.864613	-16.60964	-16.60964	15.113002	11.830836	-16.60964	15.525654	14.930832	-16.60964	Prolylhydroxyproline_5.629	5.629		229.1183	230.122	18684-24-7	Target		0.0
L-GLUTAMIC ACID**_1.041	29255.379	54394.504	42733.25	91021.67	23353.326	37562.285	7481.9355	14898.899	68590.36	12561.682	17050.303	11490.387	11432.272	41875.29	52101.09	33425.67	88130.03	46966.74	71806.49	38250.848	19287.846	9919.252	36402.824	27401.658	21172.535	33163.918	9483.31	15773.861	26127.805	14.836415	15.7311735	15.383071	16.473923	14.51134	15.196997	12.869196	13.862918	16.065718	13.616741	14.057509	13.48814	13.480824	15.353811	15.669025	15.028669	16.427347	15.519351	16.131826	15.223204	14.235404	13.276015	15.151762	14.741976	14.369905	15.017327	13.211175	13.945248	14.673298	L-GLUTAMIC ACID**_1.041	1.041	1.0223167	148.0605		56-86-0	Target		0.0
Enanderinanin G_8.771	58543.777	4403.8296	1.0E-5	6898.9653	54480.242	14928.933	1.0E-5	7066.992	1.0E-5	42871.016	1.0E-5	55459.55	2674.93	20055.91	1.0E-5	65368.977	2413.179	7970.0356	3720.3047	6428.9717	1.0E-5	65301.797	1031.6512	1760.8718	50095.543	11560.651	13568.577	21308.457	30589.992	15.837229	12.104544	-16.60964	12.752164	15.733445	13.865823	-16.60964	12.786881	-16.60964	15.387714	-16.60964	15.759149	11.385285	14.29174	-16.60964	15.996318	11.236719	12.96037	11.861204	12.6503725	-16.60964	15.994835	10.010739	10.782074	15.612395	13.496936	13.727982	14.379138	14.900772	Enanderinanin G_8.771	8.771		439.2306	440.2338		Target		0.0
Pirbuterol_1.854	12238.914	1.0E-5	116762.41	316542.7	140287.44	42279.75	48379.547	245332.38	325666.78	1.0E-5	83002.96	119806.836	240984.14	299873.75	133685.34	170597.89	468531.47	276040.25	280052.7	53365.492	409530.75	19089.71	49145.07	446088.03	65561.26	234130.72	87961.305	127244.85	120064.08	13.579187	-16.60964	16.833216	18.272041	17.098026	15.367679	15.56211	17.904377	18.313038	-16.60964	16.340876	16.87035	17.878578	18.193995	17.028482	17.380241	18.837786	18.07452	18.095339	15.703619	18.643612	14.220508	15.58476	18.766968	16.000555	17.836954	16.424582	16.957247	16.873446	Pirbuterol_1.854	1.854	1.875	241.153	242.1569	38677-81-5	Target		0.0
C58 - 0.846	733611.06	831985.0	1101234.8	758070.44	887838.44	1065756.8	819887.4	708728.7	725743.3	788501.5	652702.2	809429.6	786219.1	777443.25	1066403.9	846674.3	889187.1	684427.6	773718.06	756745.8	900604.44	947552.9	951989.75	753869.06	898589.4	804809.06	633265.44	983611.7	809182.8	19.484655	19.666199	20.07069	19.531971	19.759937	20.023445	19.645067	19.434874	19.469099	19.588755	19.316065	19.626545	19.584572	19.568377	20.024323	19.691448	19.762127	19.384539	19.56145	19.52945	19.780533	19.853846	19.860586	19.523954	19.777304	19.618286	19.27245	19.90773	19.626106	C58 - 0.846	0.846	0.8401833	223.9891	224.9905		Target		0.0
