"","Searched.by.ion","Product.Mass","QualifierMass","Compound","Retention.Time","report.results_GT_001_SBAQ_1.raw.","report.results_GT_001_SBAQ_10.raw.","report.results_GT_001_SBAQ_11.raw.","report.results_GT_001_SBAQ_12.raw.","report.results_GT_001_SBAQ_13.raw.","report.results_GT_001_SBAQ_14.raw.","report.results_GT_001_SBAQ_15.raw.","report.results_GT_001_SBAQ_16.raw.","report.results_GT_001_SBAQ_17.raw.","report.results_GT_001_SBAQ_18.raw.","report.results_GT_001_SBAQ_19.raw.","report.results_GT_001_SBAQ_2.raw.","report.results_GT_001_SBAQ_20.raw.","report.results_GT_001_SBAQ_21.raw.","report.results_GT_001_SBAQ_22.raw.","report.results_GT_001_SBAQ_23.raw.","report.results_GT_001_SBAQ_24.raw.","report.results_GT_001_SBAQ_25.raw.","report.results_GT_001_SBAQ_26.raw.","report.results_GT_001_SBAQ_27.raw.","report.results_GT_001_SBAQ_28.raw.","report.results_GT_001_SBAQ_29.raw.","report.results_GT_001_SBAQ_3.raw.","report.results_GT_001_SBAQ_4.raw.","report.results_GT_001_SBAQ_5.raw.","report.results_GT_001_SBAQ_6.raw.","report.results_GT_001_SBAQ_7.raw.","report.results_GT_001_SBAQ_8.raw.","report.results_GT_001_SBAQ_9.raw.","report.results_GT_001_SBAQ_1..Log2.normalized.","report.results_GT_001_SBAQ_10..Log2.normalized.","report.results_GT_001_SBAQ_11..Log2.normalized.","report.results_GT_001_SBAQ_12..Log2.normalized.","report.results_GT_001_SBAQ_13..Log2.normalized.","report.results_GT_001_SBAQ_14..Log2.normalized.","report.results_GT_001_SBAQ_15..Log2.normalized.","report.results_GT_001_SBAQ_16..Log2.normalized.","report.results_GT_001_SBAQ_17..Log2.normalized.","report.results_GT_001_SBAQ_18..Log2.normalized.","report.results_GT_001_SBAQ_19..Log2.normalized.","report.results_GT_001_SBAQ_2..Log2.normalized.","report.results_GT_001_SBAQ_20..Log2.normalized.","report.results_GT_001_SBAQ_21..Log2.normalized.","report.results_GT_001_SBAQ_22..Log2.normalized.","report.results_GT_001_SBAQ_23..Log2.normalized.","report.results_GT_001_SBAQ_24..Log2.normalized.","report.results_GT_001_SBAQ_25..Log2.normalized.","report.results_GT_001_SBAQ_26..Log2.normalized.","report.results_GT_001_SBAQ_27..Log2.normalized.","report.results_GT_001_SBAQ_28..Log2.normalized.","report.results_GT_001_SBAQ_29..Log2.normalized.","report.results_GT_001_SBAQ_3..Log2.normalized.","report.results_GT_001_SBAQ_4..Log2.normalized.","report.results_GT_001_SBAQ_5..Log2.normalized.","report.results_GT_001_SBAQ_6..Log2.normalized.","report.results_GT_001_SBAQ_7..Log2.normalized.","report.results_GT_001_SBAQ_8..Log2.normalized.","report.results_GT_001_SBAQ_9..Log2.normalized.","Compound.Name","Measured.Retention.Time","Product.Mass.1","QualifierMass.1","CASNumber","CompoundType","ISTDCompoundName","Mass.Column"
"11","not found ",136.0614,NA,"Adenine_6.72",6.72,15482.4375,28161.355,31692.848,16606.242,8573.149,11654.197,1e-05,13656.082,11927.336,11946.018,10217.405,1e-05,1e-05,1e-05,1e-05,1e-05,21098.629,1e-05,1e-05,12985.442,1e-05,1e-05,1e-05,56617.652,1e-05,10112.519,6939.0557,16622.451,7728.662,13.918345,14.781428,14.95187,14.019438,13.06561,13.508562,-16.60964,13.737256,13.541984,13.544242,13.318741,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,14.3648615,-16.60964,-16.60964,13.664608,-16.60964,-16.60964,-16.60964,15.788965,-16.60964,13.303854,12.760524,14.020845,12.916003,"Adenine_6.72",6.7096334,136.0614,NA,"73-24-5","Target",NA,0
"12","not found ",147.0289,NA,"Allyl disulfide_1.474",1.474,155538.53,188845.03,279037.7,200150.05,1e-05,1e-05,212009.48,1e-05,276369.3,1e-05,1e-05,1e-05,1e-05,175716.27,1e-05,166804.06,102631.4,224302.69,137438.66,119417.48,811.3377,1e-05,207684.89,1e-05,1e-05,110677.875,1e-05,1e-05,224517.2,17.246912,17.526842,18.090101,17.610722,-16.60964,-16.60964,17.69377,-16.60964,18.076239,-16.60964,-16.60964,-16.60964,-16.60964,17.422888,-16.60964,17.347795,16.647114,17.775087,17.068428,16.865654,9.664159,-16.60964,17.664036,-16.60964,-16.60964,16.756006,-16.60964,-16.60964,17.776466,"Allyl disulfide_1.474",1.5521333,147.0289,NA,"2179-57-9","Target",NA,0
"13","not found ",162.0759,NA,"alpha-Aminoadipic acid_1.728",1.728,14344.755,28508.604,41391.914,52177.33,61069.07,35128.164,60533.145,40459.918,18553.17,58208.066,57322.54,60134.227,50653.42,28625.36,12060.429,28181.299,8031.0957,68721.24,98798.99,33082.89,76812.19,81350.266,36609.008,34331.297,1e-05,24366.643,39635.023,39755.3,37809.04,13.808235,14.799109,15.337062,15.671135,15.898154,15.100341,15.885438,15.304206,14.179378,15.828931,15.806815,15.875898,15.628371,14.805007,13.557994,14.782451,12.971381,16.068468,16.592209,15.013798,16.229048,16.31186,15.159911,15.067236,-16.60964,14.572619,15.2744875,15.27886,15.206443,"alpha-Aminoadipic acid_1.728",1.6928667,162.0759,NA,"542-32-5","Target",NA,0
"14","not found ",134.0446,NA,"Aspartic Acid**_1.029",1.029,14552.871,19472.3,16402.508,22793.664,9803.216,19978.35,14480.648,10706.831,21100.396,12703.62,11918.072,12158.311,8231.721,35299.668,17826.486,18640.781,15329.169,23837.82,26378.914,13171.363,7347.224,12727.245,20307.709,14109.373,11397.066,17113.412,5582.3804,7592.8286,14156.963,13.829017,14.249135,14.001629,14.476345,13.25904,14.28615,13.821838,13.386244,14.364983,13.632952,13.540863,13.569655,13.006978,15.1073675,14.121735,14.186174,13.903993,14.540965,14.687097,13.685118,12.842983,13.6356325,14.309739,13.784367,13.476375,14.0628395,12.446665,12.890422,13.789224,"Aspartic Acid**_1.029",NA,134.0446,NA,"25608-40-6","Target",NA,0
"15","not found ",182.0789,341.1687,"Betonicine_4.389",4.389,1e-05,80444.16,1e-05,1e-05,11764.717,1e-05,4033.0247,1e-05,1e-05,1e-05,1e-05,1e-05,10427.049,22230.914,22725.502,1e-05,1e-05,5288.4175,31498.695,12049.498,12558.226,1e-05,1e-05,8802.754,1e-05,12747.921,8248.527,6195.6436,1e-05,-16.60964,16.2957,-16.60964,-16.60964,13.522179,-16.60964,11.977647,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,13.3480425,14.44028,14.472025,-16.60964,-16.60964,12.368621,14.943005,13.556685,13.616345,-16.60964,-16.60964,13.103739,-16.60964,13.637974,13.009921,12.597038,-16.60964,"Betonicine_4.389",NA,182.0789,341.1687,"515-25-3","Target",NA,0
"16","not found ",427.158,428.1605,"Bruceine H_7.226",7.226,40317.867,64311.97,72229.94,60923.17,51483.484,52718.09,64968.28,41724.56,65348.047,43762.996,38540.496,29657.07,49328.8,53913.594,88928.445,52799.37,62676.367,52518.723,70327.43,96087.14,77174.7,44957.54,73761.836,79540.03,33421.863,53774.25,58291.438,59216.195,32124.51,15.299132,15.972799,16.140308,15.894704,15.651822,15.68601,15.987448,15.34861,15.995856,15.417423,15.234087,14.856089,15.590142,15.718361,16.440357,15.688232,15.935635,15.680544,16.1018,16.552055,16.23584,15.456275,16.170588,16.279394,15.028504,15.714628,15.8309965,15.853704,14.971387,"Bruceine H_7.226",7.2311835,427.158,428.1605,"105532-18-1","Target",NA,0
"17","not found ",149.06,150.0631,"Cinnamic acid_2.278",2.278,196902.36,648842.75,434382.44,588386.4,705950.8,660992.3,144506.45,605035.9,618245.7,677817.75,1567986,1788364.9,876299.25,142693.14,652197.75,653188.8,975103.7,574553.6,139460.94,284561.3,167883.58,839370.56,553143.5,681826.7,1108065.4,656903.94,416979.2,764220.3,629224.3,17.58712,19.30751,18.728607,19.166405,19.429207,19.334274,17.140774,19.206661,19.237822,19.370539,20.58048,20.77021,19.741064,17.122557,19.31495,19.31714,19.895197,19.132082,17.089502,18.11838,17.357101,19.678947,19.077293,19.379045,20.07961,19.325323,18.669615,19.543629,19.263216,"Cinnamic acid_2.278",2.2640834,149.06,150.0631,"140-10-3","Target",NA,0
"18","not found ",136.0753,NA,"Coumarone_1.827",1.827,949702.94,1074595.4,1964876.4,1674800.8,1776132.5,2706657.5,958848.5,1550479.5,1094563.4,1107431.4,6970083,807355.75,1125977.1,1434496,1034865.1,656919.4,1545394.1,735633.2,1781801.8,897549.3,1454480,720124.75,989852.6,1745107,1284662.1,8877237,971796.44,1291419.8,721568.44,19.857117,20.035362,20.906008,20.675558,20.760307,21.36808,19.870943,20.564283,20.061924,20.078787,22.732744,19.622845,20.102747,20.452112,19.981012,19.325356,20.559544,19.488626,20.764906,19.77563,20.472073,19.457888,19.916855,20.734884,20.292957,23.081678,19.890295,20.300526,19.460777,"Coumarone_1.827",1.8418833,136.0753,NA,"271-89-6","Target",NA,0
"19","not found",104.0702,87.0441,"Crotonic acid_1.021",1.021,274462.1,186249.62,187661.05,255489.78,120518.055,229673.38,138278.16,67491.414,258792.53,105059.67,134918.27,130472.78,115396.5,220665.78,191966.64,171315.95,227897.2,241014.06,242075.98,229606.75,107831.055,131459.5,174745.83,162571.1,83463.29,159438.8,125373.21,98354.555,128862.14,18.066248,17.506878,17.51777,17.962906,16.87889,17.809225,17.077213,16.042416,17.981438,16.68085,17.041727,16.99339,16.816238,17.751503,17.550497,17.3863,17.798023,17.878757,17.885101,17.808805,16.718412,17.00426,17.414898,17.31071,16.348854,17.282642,16.93587,16.585705,16.97547,"Crotonic acid_1.021",1.0388666,104.0702,87.0441,"3724-65-0","Target",NA,0
"20","not found ",160.1069,NA,"delta-Guanidinovaleric acid_1.89",1.89,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,55701.273,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,33856.645,20436.334,1e-05,1e-05,1e-05,1e-05,1e-05,49777.04,1e-05,1e-05,1e-05,1e-05,1e-05,48333.66,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,15.765423,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,15.047152,14.318849,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,15.603193,-16.60964,-16.60964,-16.60964,-16.60964,-16.60964,15.560741,"delta-Guanidinovaleric acid_1.89",NA,160.1069,NA,"462-93-1","Target",NA,0
